"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Acre";"Homicídio doloso";"01/2015";"Feminino";2
"Acre";"Homicídio doloso";"01/2015";"Masculino";11
"Acre";"Homicídio doloso";"01/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"02/2015";"Feminino";1
"Acre";"Homicídio doloso";"02/2015";"Masculino";9
"Acre";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"03/2015";"Feminino";1
"Acre";"Homicídio doloso";"03/2015";"Masculino";15
"Acre";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"04/2015";"Feminino";"-"
"Acre";"Homicídio doloso";"04/2015";"Masculino";22
"Acre";"Homicídio doloso";"04/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"05/2015";"Feminino";1
"Acre";"Homicídio doloso";"05/2015";"Masculino";14
"Acre";"Homicídio doloso";"05/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"06/2015";"Feminino";0
"Acre";"Homicídio doloso";"06/2015";"Masculino";
"Acre";"Homicídio doloso";"06/2015";"Sexo NI";14
"Acre";"Homicídio doloso";"07/2015";"Feminino";"-"
"Acre";"Homicídio doloso";"07/2015";"Masculino";14
"Acre";"Homicídio doloso";"07/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"08/2015";"Feminino";"-"
"Acre";"Homicídio doloso";"08/2015";"Masculino";13
"Acre";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"09/2015";"Feminino";1
"Acre";"Homicídio doloso";"09/2015";"Masculino";17
"Acre";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"10/2015";"Feminino";2
"Acre";"Homicídio doloso";"10/2015";"Masculino";13
"Acre";"Homicídio doloso";"10/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"11/2015";"Feminino";6
"Acre";"Homicídio doloso";"11/2015";"Masculino";15
"Acre";"Homicídio doloso";"11/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"12/2015";"Feminino";1
"Acre";"Homicídio doloso";"12/2015";"Masculino";17
"Acre";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"Acre";"Homicídio doloso";"01/2016";"Feminino";"-"
"Acre";"Homicídio doloso";"01/2016";"Masculino";18
"Acre";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"02/2016";"Feminino";4
"Acre";"Homicídio doloso";"02/2016";"Masculino";14
"Acre";"Homicídio doloso";"02/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"03/2016";"Feminino";1
"Acre";"Homicídio doloso";"03/2016";"Masculino";18
"Acre";"Homicídio doloso";"03/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"04/2016";"Feminino";1
"Acre";"Homicídio doloso";"04/2016";"Masculino";21
"Acre";"Homicídio doloso";"04/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"05/2016";"Feminino";1
"Acre";"Homicídio doloso";"05/2016";"Masculino";26
"Acre";"Homicídio doloso";"05/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"06/2016";"Feminino";2
"Acre";"Homicídio doloso";"06/2016";"Masculino";24
"Acre";"Homicídio doloso";"06/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"07/2016";"Feminino";4
"Acre";"Homicídio doloso";"07/2016";"Masculino";19
"Acre";"Homicídio doloso";"07/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"08/2016";"Feminino";"-"
"Acre";"Homicídio doloso";"08/2016";"Masculino";23
"Acre";"Homicídio doloso";"08/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"09/2016";"Feminino";"-"
"Acre";"Homicídio doloso";"09/2016";"Masculino";27
"Acre";"Homicídio doloso";"09/2016";"Sexo NI";"-"
"Acre";"Homicídio doloso";"10/2016";"Feminino";4
