"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Amazonas";"Homicídio doloso";"01/2015";"Feminino";6
"Amazonas";"Homicídio doloso";"01/2015";"Masculino";83
"Amazonas";"Homicídio doloso";"01/2015";"Sexo NI";10
"Amazonas";"Homicídio doloso";"02/2015";"Feminino";4
"Amazonas";"Homicídio doloso";"02/2015";"Masculino";74
"Amazonas";"Homicídio doloso";"02/2015";"Sexo NI";20
"Amazonas";"Homicídio doloso";"03/2015";"Feminino";3
"Amazonas";"Homicídio doloso";"03/2015";"Masculino";78
"Amazonas";"Homicídio doloso";"03/2015";"Sexo NI";26
"Amazonas";"Homicídio doloso";"04/2015";"Feminino";12
"Amazonas";"Homicídio doloso";"04/2015";"Masculino";88
"Amazonas";"Homicídio doloso";"04/2015";"Sexo NI";23
"Amazonas";"Homicídio doloso";"05/2015";"Feminino";5
"Amazonas";"Homicídio doloso";"05/2015";"Masculino";86
"Amazonas";"Homicídio doloso";"05/2015";"Sexo NI";40
"Amazonas";"Homicídio doloso";"06/2015";"Feminino";10
"Amazonas";"Homicídio doloso";"06/2015";"Masculino";90
"Amazonas";"Homicídio doloso";"06/2015";"Sexo NI";3
"Amazonas";"Homicídio doloso";"07/2015";"Feminino";5
"Amazonas";"Homicídio doloso";"07/2015";"Masculino";87
"Amazonas";"Homicídio doloso";"07/2015";"Sexo NI";20
"Amazonas";"Homicídio doloso";"08/2015";"Feminino";6
"Amazonas";"Homicídio doloso";"08/2015";"Masculino";94
"Amazonas";"Homicídio doloso";"08/2015";"Sexo NI";20
"Amazonas";"Homicídio doloso";"09/2015";"Feminino";8
"Amazonas";"Homicídio doloso";"09/2015";"Masculino";84
"Amazonas";"Homicídio doloso";"09/2015";"Sexo NI";20
"Amazonas";"Homicídio doloso";"10/2015";"Feminino";4
"Amazonas";"Homicídio doloso";"10/2015";"Masculino";88
