"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Amapá";"Homicídio doloso";"01/2015";"Feminino";2
"Amapá";"Homicídio doloso";"01/2015";"Masculino";13
"Amapá";"Homicídio doloso";"01/2015";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"02/2015";"Feminino";1
"Amapá";"Homicídio doloso";"02/2015";"Masculino";11
"Amapá";"Homicídio doloso";"02/2015";"Sexo NI";1
"Amapá";"Homicídio doloso";"03/2015";"Feminino";1
"Amapá";"Homicídio doloso";"03/2015";"Masculino";20
"Amapá";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"04/2015";"Feminino";1
"Amapá";"Homicídio doloso";"04/2015";"Masculino";15
"Amapá";"Homicídio doloso";"04/2015";"Sexo NI";2
"Amapá";"Homicídio doloso";"05/2015";"Feminino";1
"Amapá";"Homicídio doloso";"05/2015";"Masculino";13
"Amapá";"Homicídio doloso";"05/2015";"Sexo NI";1
"Amapá";"Homicídio doloso";"06/2015";"Feminino";1
"Amapá";"Homicídio doloso";"06/2015";"Masculino";16
"Amapá";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"07/2015";"Feminino";2
"Amapá";"Homicídio doloso";"07/2015";"Masculino";15
"Amapá";"Homicídio doloso";"07/2015";"Sexo NI";2
"Amapá";"Homicídio doloso";"08/2015";"Feminino";"-"
"Amapá";"Homicídio doloso";"08/2015";"Masculino";16
"Amapá";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"09/2015";"Feminino";"-"
"Amapá";"Homicídio doloso";"09/2015";"Masculino";10
"Amapá";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"10/2015";"Feminino";4
"Amapá";"Homicídio doloso";"10/2015";"Masculino";13
"Amapá";"Homicídio doloso";"10/2015";"Sexo NI";1
"Amapá";"Homicídio doloso";"11/2015";"Feminino";2
"Amapá";"Homicídio doloso";"11/2015";"Masculino";24
"Amapá";"Homicídio doloso";"11/2015";"Sexo NI";2
"Amapá";"Homicídio doloso";"12/2015";"Feminino";2
"Amapá";"Homicídio doloso";"12/2015";"Masculino";20
"Amapá";"Homicídio doloso";"12/2015";"Sexo NI";1
"Amapá";"Homicídio doloso";"01/2016";"Feminino";"-"
"Amapá";"Homicídio doloso";"01/2016";"Masculino";8
"Amapá";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"02/2016";"Feminino";5
"Amapá";"Homicídio doloso";"02/2016";"Masculino";23
"Amapá";"Homicídio doloso";"02/2016";"Sexo NI";2
"Amapá";"Homicídio doloso";"03/2016";"Feminino";"-"
"Amapá";"Homicídio doloso";"03/2016";"Masculino";26
"Amapá";"Homicídio doloso";"03/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"04/2016";"Feminino";2
"Amapá";"Homicídio doloso";"04/2016";"Masculino";17
"Amapá";"Homicídio doloso";"04/2016";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"05/2016";"Feminino";1
"Amapá";"Homicídio doloso";"05/2016";"Masculino";17
"Amapá";"Homicídio doloso";"05/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"06/2016";"Feminino";"-"
"Amapá";"Homicídio doloso";"06/2016";"Masculino";32
"Amapá";"Homicídio doloso";"06/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"07/2016";"Feminino";3
"Amapá";"Homicídio doloso";"07/2016";"Masculino";28
"Amapá";"Homicídio doloso";"07/2016";"Sexo NI";3
"Amapá";"Homicídio doloso";"08/2016";"Feminino";3
"Amapá";"Homicídio doloso";"08/2016";"Masculino";21
"Amapá";"Homicídio doloso";"08/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"09/2016";"Feminino";2
"Amapá";"Homicídio doloso";"09/2016";"Masculino";22
"Amapá";"Homicídio doloso";"09/2016";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"10/2016";"Feminino";2
"Amapá";"Homicídio doloso";"10/2016";"Masculino";32
"Amapá";"Homicídio doloso";"10/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"11/2016";"Feminino";1
"Amapá";"Homicídio doloso";"11/2016";"Masculino";29
"Amapá";"Homicídio doloso";"11/2016";"Sexo NI";1
"Amapá";"Homicídio doloso";"12/2016";"Feminino";2
"Amapá";"Homicídio doloso";"12/2016";"Masculino";28
"Amapá";"Homicídio doloso";"12/2016";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"01/2017";"Feminino";1
"Amapá";"Homicídio doloso";"01/2017";"Masculino";31
"Amapá";"Homicídio doloso";"01/2017";"Sexo NI";1
"Amapá";"Homicídio doloso";"02/2017";"Feminino";1
"Amapá";"Homicídio doloso";"02/2017";"Masculino";16
"Amapá";"Homicídio doloso";"02/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"03/2017";"Feminino";2
"Amapá";"Homicídio doloso";"03/2017";"Masculino";24
"Amapá";"Homicídio doloso";"03/2017";"Sexo NI";2
"Amapá";"Homicídio doloso";"04/2017";"Feminino";5
"Amapá";"Homicídio doloso";"04/2017";"Masculino";21
"Amapá";"Homicídio doloso";"04/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"05/2017";"Feminino";"-"
"Amapá";"Homicídio doloso";"05/2017";"Masculino";19
"Amapá";"Homicídio doloso";"05/2017";"Sexo NI";1
"Amapá";"Homicídio doloso";"06/2017";"Feminino";3
"Amapá";"Homicídio doloso";"06/2017";"Masculino";18
"Amapá";"Homicídio doloso";"06/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"07/2017";"Feminino";2
"Amapá";"Homicídio doloso";"07/2017";"Masculino";18
"Amapá";"Homicídio doloso";"07/2017";"Sexo NI";2
"Amapá";"Homicídio doloso";"08/2017";"Feminino";4
"Amapá";"Homicídio doloso";"08/2017";"Masculino";38
"Amapá";"Homicídio doloso";"08/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"09/2017";"Feminino";4
"Amapá";"Homicídio doloso";"09/2017";"Masculino";32
"Amapá";"Homicídio doloso";"09/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"10/2017";"Feminino";3
"Amapá";"Homicídio doloso";"10/2017";"Masculino";31
"Amapá";"Homicídio doloso";"10/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"11/2017";"Feminino";2
"Amapá";"Homicídio doloso";"11/2017";"Masculino";33
"Amapá";"Homicídio doloso";"11/2017";"Sexo NI";1
"Amapá";"Homicídio doloso";"12/2017";"Feminino";15
"Amapá";"Homicídio doloso";"12/2017";"Masculino";31
"Amapá";"Homicídio doloso";"12/2017";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"01/2018";"Feminino";0
"Amapá";"Homicídio doloso";"01/2018";"Masculino";7
"Amapá";"Homicídio doloso";"01/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"02/2018";"Feminino";1
"Amapá";"Homicídio doloso";"02/2018";"Masculino";13
"Amapá";"Homicídio doloso";"02/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"03/2018";"Feminino";1
"Amapá";"Homicídio doloso";"03/2018";"Masculino";16
"Amapá";"Homicídio doloso";"03/2018";"Sexo NI";0
"Amapá";"Homicídio doloso";"04/2018";"Feminino";2
"Amapá";"Homicídio doloso";"04/2018";"Masculino";26
"Amapá";"Homicídio doloso";"04/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"05/2018";"Feminino";2
"Amapá";"Homicídio doloso";"05/2018";"Masculino";14
"Amapá";"Homicídio doloso";"05/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"06/2018";"Feminino";2
"Amapá";"Homicídio doloso";"06/2018";"Masculino";20
"Amapá";"Homicídio doloso";"06/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"07/2018";"Feminino";0
"Amapá";"Homicídio doloso";"07/2018";"Masculino";18
"Amapá";"Homicídio doloso";"07/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"08/2018";"Feminino";2
"Amapá";"Homicídio doloso";"08/2018";"Masculino";30
"Amapá";"Homicídio doloso";"08/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"09/2018";"Feminino";3
"Amapá";"Homicídio doloso";"09/2018";"Masculino";28
"Amapá";"Homicídio doloso";"09/2018";"Sexo NI";0
"Amapá";"Homicídio doloso";"10/2018";"Feminino";2
"Amapá";"Homicídio doloso";"10/2018";"Masculino";34
"Amapá";"Homicídio doloso";"10/2018";"Sexo NI";"-"
"Amapá";"Homicídio doloso";"11/2018";"Feminino";0
"Amapá";"Homicídio doloso";"11/2018";"Masculino";30
"Amapá";"Homicídio doloso";"11/2018";"Sexo NI";0
"Amapá";"Homicídio doloso";"12/2018";"Feminino";3
"Amapá";"Homicídio doloso";"12/2018";"Masculino";35
"Amapá";"Homicídio doloso";"12/2018";"Sexo NI";"-"
;;;;"-"
