"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Bahia";"Homicídio doloso";"01/2015";"Feminino";39
"Bahia";"Homicídio doloso";"01/2015";"Masculino";471
"Bahia";"Homicídio doloso";"01/2015";"Sexo NI";
"Bahia";"Homicídio doloso";"02/2015";"Feminino";27
"Bahia";"Homicídio doloso";"02/2015";"Masculino";394
"Bahia";"Homicídio doloso";"02/2015";"Sexo NI";
"Bahia";"Homicídio doloso";"03/2015";"Feminino";32
"Bahia";"Homicídio doloso";"03/2015";"Masculino";523
"Bahia";"Homicídio doloso";"03/2015";"Sexo NI";2
"Bahia";"Homicídio doloso";"04/2015";"Feminino";36
"Bahia";"Homicídio doloso";"04/2015";"Masculino";476
"Bahia";"Homicídio doloso";"04/2015";"Sexo NI";1
"Bahia";"Homicídio doloso";"05/2015";"Feminino";25
"Bahia";"Homicídio doloso";"05/2015";"Masculino";452
"Bahia";"Homicídio doloso";"05/2015";"Sexo NI";
"Bahia";"Homicídio doloso";"06/2015";"Feminino";15
"Bahia";"Homicídio doloso";"06/2015";"Masculino";379
"Bahia";"Homicídio doloso";"06/2015";"Sexo NI";
"Bahia";"Homicídio doloso";"07/2015";"Feminino";30
"Bahia";"Homicídio doloso";"07/2015";"Masculino";448
"Bahia";"Homicídio doloso";"07/2015";"Sexo NI";2
"Bahia";"Homicídio doloso";"08/2015";"Feminino";34
"Bahia";"Homicídio doloso";"08/2015";"Masculino";413
"Bahia";"Homicídio doloso";"08/2015";"Sexo NI";2
"Bahia";"Homicídio doloso";"09/2015";"Feminino";27
"Bahia";"Homicídio doloso";"09/2015";"Masculino";363
"Bahia";"Homicídio doloso";"09/2015";"Sexo NI";5
"Bahia";"Homicídio doloso";"10/2015";"Feminino";36
"Bahia";"Homicídio doloso";"10/2015";"Masculino";461
"Bahia";"Homicídio doloso";"10/2015";"Sexo NI";3
"Bahia";"Homicídio doloso";"11/2015";"Feminino";39
"Bahia";"Homicídio doloso";"11/2015";"Masculino";452
"Bahia";"Homicídio doloso";"11/2015";"Sexo NI";1
"Bahia";"Homicídio doloso";"12/2015";"Feminino";48
"Bahia";"Homicídio doloso";"12/2015";"Masculino";467
"Bahia";"Homicídio doloso";"12/2015";"Sexo NI";7
"Bahia";"Homicídio doloso";"01/2016";"Feminino";41
"Bahia";"Homicídio doloso";"01/2016";"Masculino";508
"Bahia";"Homicídio doloso";"01/2016";"Sexo NI";
"Bahia";"Homicídio doloso";"02/2016";"Feminino";34
"Bahia";"Homicídio doloso";"02/2016";"Masculino";503
"Bahia";"Homicídio doloso";"02/2016";"Sexo NI";5
"Bahia";"Homicídio doloso";"03/2016";"Feminino";38
"Bahia";"Homicídio doloso";"03/2016";"Masculino";501
"Bahia";"Homicídio doloso";"03/2016";"Sexo NI";1
"Bahia";"Homicídio doloso";"04/2016";"Feminino";38
"Bahia";"Homicídio doloso";"04/2016";"Masculino";534
"Bahia";"Homicídio doloso";"04/2016";"Sexo NI";4
"Bahia";"Homicídio doloso";"05/2016";"Feminino";44
"Bahia";"Homicídio doloso";"05/2016";"Masculino";534
"Bahia";"Homicídio doloso";"05/2016";"Sexo NI";1
"Bahia";"Homicídio doloso";"06/2016";"Feminino";34
"Bahia";"Homicídio doloso";"06/2016";"Masculino";448
"Bahia";"Homicídio doloso";"06/2016";"Sexo NI";
"Bahia";"Homicídio doloso";"07/2016";"Feminino";36
"Bahia";"Homicídio doloso";"07/2016";"Masculino";471
"Bahia";"Homicídio doloso";"07/2016";"Sexo NI";3
"Bahia";"Homicídio doloso";"08/2016";"Feminino";39
"Bahia";"Homicídio doloso";"08/2016";"Masculino";483
"Bahia";"Homicídio doloso";"08/2016";"Sexo NI";4
"Bahia";"Homicídio doloso";"09/2016";"Feminino";33
"Bahia";"Homicídio doloso";"09/2016";"Masculino";469
"Bahia";"Homicídio doloso";"09/2016";"Sexo NI";1
"Bahia";"Homicídio doloso";"10/2016";"Feminino";35
"Bahia";"Homicídio doloso";"10/2016";"Masculino";519
"Bahia";"Homicídio doloso";"10/2016";"Sexo NI";5
"Bahia";"Homicídio doloso";"11/2016";"Feminino";44
"Bahia";"Homicídio doloso";"11/2016";"Masculino";495
"Bahia";"Homicídio doloso";"11/2016";"Sexo NI";3
"Bahia";"Homicídio doloso";"12/2016";"Feminino";32
"Bahia";"Homicídio doloso";"12/2016";"Masculino";536
"Bahia";"Homicídio doloso";"12/2016";"Sexo NI";1
"Bahia";"Homicídio doloso";"01/2017";"Feminino";51
"Bahia";"Homicídio doloso";"01/2017";"Masculino";580
"Bahia";"Homicídio doloso";"01/2017";"Sexo NI";5
"Bahia";"Homicídio doloso";"02/2017";"Feminino";35
"Bahia";"Homicídio doloso";"02/2017";"Masculino";497
"Bahia";"Homicídio doloso";"02/2017";"Sexo NI";2
"Bahia";"Homicídio doloso";"03/2017";"Feminino";45
"Bahia";"Homicídio doloso";"03/2017";"Masculino";542
"Bahia";"Homicídio doloso";"03/2017";"Sexo NI";5
"Bahia";"Homicídio doloso";"04/2017";"Feminino";48
"Bahia";"Homicídio doloso";"04/2017";"Masculino";476
"Bahia";"Homicídio doloso";"04/2017";"Sexo NI";6
"Bahia";"Homicídio doloso";"05/2017";"Feminino";33
"Bahia";"Homicídio doloso";"05/2017";"Masculino";464
"Bahia";"Homicídio doloso";"05/2017";"Sexo NI";4
"Bahia";"Homicídio doloso";"06/2017";"Feminino";39
"Bahia";"Homicídio doloso";"06/2017";"Masculino";418
"Bahia";"Homicídio doloso";"06/2017";"Sexo NI";4
"Bahia";"Homicídio doloso";"07/2017";"Feminino";31
"Bahia";"Homicídio doloso";"07/2017";"Masculino";434
"Bahia";"Homicídio doloso";"07/2017";"Sexo NI";6
"Bahia";"Homicídio doloso";"08/2017";"Feminino";34
"Bahia";"Homicídio doloso";"08/2017";"Masculino";438
"Bahia";"Homicídio doloso";"08/2017";"Sexo NI";4
"Bahia";"Homicídio doloso";"09/2017";"Feminino";33
"Bahia";"Homicídio doloso";"09/2017";"Masculino";424
"Bahia";"Homicídio doloso";"09/2017";"Sexo NI";2
"Bahia";"Homicídio doloso";"10/2017";"Feminino";56
"Bahia";"Homicídio doloso";"10/2017";"Masculino";450
"Bahia";"Homicídio doloso";"10/2017";"Sexo NI";1
"Bahia";"Homicídio doloso";"11/2017";"Feminino";35
"Bahia";"Homicídio doloso";"11/2017";"Masculino";468
"Bahia";"Homicídio doloso";"11/2017";"Sexo NI";5
"Bahia";"Homicídio doloso";"12/2017";"Feminino";43
"Bahia";"Homicídio doloso";"12/2017";"Masculino";484
"Bahia";"Homicídio doloso";"12/2017";"Sexo NI";3
"Bahia";"Homicídio doloso";"01/2018";"Feminino";43
"Bahia";"Homicídio doloso";"01/2018";"Masculino";497
"Bahia";"Homicídio doloso";"01/2018";"Sexo NI";4
"Bahia";"Homicídio doloso";"02/2018";"Feminino";41
"Bahia";"Homicídio doloso";"02/2018";"Masculino";454
"Bahia";"Homicídio doloso";"02/2018";"Sexo NI";1
"Bahia";"Homicídio doloso";"03/2018";"Feminino";39
"Bahia";"Homicídio doloso";"03/2018";"Masculino";458
"Bahia";"Homicídio doloso";"03/2018";"Sexo NI";9
"Bahia";"Homicídio doloso";"04/2018";"Feminino";32
"Bahia";"Homicídio doloso";"04/2018";"Masculino";417
"Bahia";"Homicídio doloso";"04/2018";"Sexo NI";6
"Bahia";"Homicídio doloso";"05/2018";"Feminino";34
"Bahia";"Homicídio doloso";"05/2018";"Masculino";456
"Bahia";"Homicídio doloso";"05/2018";"Sexo NI";4
"Bahia";"Homicídio doloso";"06/2018";"Feminino";38
"Bahia";"Homicídio doloso";"06/2018";"Masculino";494
"Bahia";"Homicídio doloso";"06/2018";"Sexo NI";3
"Bahia";"Homicídio doloso";"07/2018";"Feminino";34
"Bahia";"Homicídio doloso";"07/2018";"Masculino";410
"Bahia";"Homicídio doloso";"07/2018";"Sexo NI";3
"Bahia";"Homicídio doloso";"08/2018";"Feminino";27
"Bahia";"Homicídio doloso";"08/2018";"Masculino";358
"Bahia";"Homicídio doloso";"08/2018";"Sexo NI";2
"Bahia";"Homicídio doloso";"09/2018";"Feminino";31
"Bahia";"Homicídio doloso";"09/2018";"Masculino";355
"Bahia";"Homicídio doloso";"09/2018";"Sexo NI";4
"Bahia";"Homicídio doloso";"10/2018";"Feminino";39
"Bahia";"Homicídio doloso";"10/2018";"Masculino";404
"Bahia";"Homicídio doloso";"10/2018";"Sexo NI";3
"Bahia";"Homicídio doloso";"11/2018";"Feminino";32
"Bahia";"Homicídio doloso";"11/2018";"Masculino";374
"Bahia";"Homicídio doloso";"11/2018";"Sexo NI";2
"Bahia";"Homicídio doloso";"12/2018";"Feminino";36
"Bahia";"Homicídio doloso";"12/2018";"Masculino";371
"Bahia";"Homicídio doloso";"12/2018";"Sexo NI";2
