"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Ceará";"Homicídio doloso";"01/2015";"Feminino";18
"Ceará";"Homicídio doloso";"01/2015";"Masculino";405
"Ceará";"Homicídio doloso";"01/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"02/2015";"Feminino";24
"Ceará";"Homicídio doloso";"02/2015";"Masculino";304
"Ceará";"Homicídio doloso";"02/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"03/2015";"Feminino";21
"Ceará";"Homicídio doloso";"03/2015";"Masculino";292
"Ceará";"Homicídio doloso";"03/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"04/2015";"Feminino";27
"Ceará";"Homicídio doloso";"04/2015";"Masculino";288
"Ceará";"Homicídio doloso";"04/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"05/2015";"Feminino";26
"Ceará";"Homicídio doloso";"05/2015";"Masculino";294
"Ceará";"Homicídio doloso";"05/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"06/2015";"Feminino";17
"Ceará";"Homicídio doloso";"06/2015";"Masculino";258
"Ceará";"Homicídio doloso";"06/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"07/2015";"Feminino";7
"Ceará";"Homicídio doloso";"07/2015";"Masculino";245
"Ceará";"Homicídio doloso";"07/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"08/2015";"Feminino";14
"Ceará";"Homicídio doloso";"08/2015";"Masculino";336
"Ceará";"Homicídio doloso";"08/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"09/2015";"Feminino";16
"Ceará";"Homicídio doloso";"09/2015";"Masculino";305
"Ceará";"Homicídio doloso";"09/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"10/2015";"Feminino";19
"Ceará";"Homicídio doloso";"10/2015";"Masculino";308
"Ceará";"Homicídio doloso";"10/2015";"Sexo NI";1
"Ceará";"Homicídio doloso";"11/2015";"Feminino";12
"Ceará";"Homicídio doloso";"11/2015";"Masculino";335
"Ceará";"Homicídio doloso";"11/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"12/2015";"Feminino";23
"Ceará";"Homicídio doloso";"12/2015";"Masculino";328
"Ceará";"Homicídio doloso";"12/2015";"Sexo NI";0
"Ceará";"Homicídio doloso";"01/2016";"Feminino";22
"Ceará";"Homicídio doloso";"01/2016";"Masculino";289
"Ceará";"Homicídio doloso";"01/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"02/2016";"Feminino";19
"Ceará";"Homicídio doloso";"02/2016";"Masculino";264
"Ceará";"Homicídio doloso";"02/2016";"Sexo NI";2
"Ceará";"Homicídio doloso";"03/2016";"Feminino";20
"Ceará";"Homicídio doloso";"03/2016";"Masculino";287
"Ceará";"Homicídio doloso";"03/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"04/2016";"Feminino";20
"Ceará";"Homicídio doloso";"04/2016";"Masculino";241
"Ceará";"Homicídio doloso";"04/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"05/2016";"Feminino";13
"Ceará";"Homicídio doloso";"05/2016";"Masculino";262
"Ceará";"Homicídio doloso";"05/2016";"Sexo NI";1
"Ceará";"Homicídio doloso";"06/2016";"Feminino";13
"Ceará";"Homicídio doloso";"06/2016";"Masculino";221
"Ceará";"Homicídio doloso";"06/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"07/2016";"Feminino";8
"Ceará";"Homicídio doloso";"07/2016";"Masculino";242
"Ceará";"Homicídio doloso";"07/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"08/2016";"Feminino";10
"Ceará";"Homicídio doloso";"08/2016";"Masculino";271
"Ceará";"Homicídio doloso";"08/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"09/2016";"Feminino";13
"Ceará";"Homicídio doloso";"09/2016";"Masculino";202
"Ceará";"Homicídio doloso";"09/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"10/2016";"Feminino";19
"Ceará";"Homicídio doloso";"10/2016";"Masculino";244
"Ceará";"Homicídio doloso";"10/2016";"Sexo NI";3
"Ceará";"Homicídio doloso";"11/2016";"Feminino";21
"Ceará";"Homicídio doloso";"11/2016";"Masculino";265
"Ceará";"Homicídio doloso";"11/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"12/2016";"Feminino";24
"Ceará";"Homicídio doloso";"12/2016";"Masculino";288
"Ceará";"Homicídio doloso";"12/2016";"Sexo NI";0
"Ceará";"Homicídio doloso";"01/2017";"Feminino";9
"Ceará";"Homicídio doloso";"01/2017";"Masculino";324
"Ceará";"Homicídio doloso";"01/2017";"Sexo NI";1
"Ceará";"Homicídio doloso";"02/2017";"Feminino";15
"Ceará";"Homicídio doloso";"02/2017";"Masculino";247
"Ceará";"Homicídio doloso";"02/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"03/2017";"Feminino";18
"Ceará";"Homicídio doloso";"03/2017";"Masculino";331
"Ceará";"Homicídio doloso";"03/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"04/2017";"Feminino";29
"Ceará";"Homicídio doloso";"04/2017";"Masculino";338
"Ceará";"Homicídio doloso";"04/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"05/2017";"Feminino";24
"Ceará";"Homicídio doloso";"05/2017";"Masculino";432
"Ceará";"Homicídio doloso";"05/2017";"Sexo NI";2
"Ceará";"Homicídio doloso";"06/2017";"Feminino";23
"Ceará";"Homicídio doloso";"06/2017";"Masculino";434
"Ceará";"Homicídio doloso";"06/2017";"Sexo NI";1
"Ceará";"Homicídio doloso";"07/2017";"Feminino";33
"Ceará";"Homicídio doloso";"07/2017";"Masculino";427
"Ceará";"Homicídio doloso";"07/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"08/2017";"Feminino";34
"Ceará";"Homicídio doloso";"08/2017";"Masculino";414
"Ceará";"Homicídio doloso";"08/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"09/2017";"Feminino";39
"Ceará";"Homicídio doloso";"09/2017";"Masculino";411
"Ceará";"Homicídio doloso";"09/2017";"Sexo NI";1
"Ceará";"Homicídio doloso";"10/2017";"Feminino";38
"Ceará";"Homicídio doloso";"10/2017";"Masculino";475
"Ceará";"Homicídio doloso";"10/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"11/2017";"Feminino";44
"Ceará";"Homicídio doloso";"11/2017";"Masculino";416
"Ceará";"Homicídio doloso";"11/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"12/2017";"Feminino";45
"Ceará";"Homicídio doloso";"12/2017";"Masculino";399
