"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Distrito Federal";"Homicídio doloso";"01/2015";"Feminino";11
"Distrito Federal";"Homicídio doloso";"01/2015";"Masculino";70
"Distrito Federal";"Homicídio doloso";"01/2015";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"02/2015";"Feminino";1
"Distrito Federal";"Homicídio doloso";"02/2015";"Masculino";47
"Distrito Federal";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"03/2015";"Feminino";7
"Distrito Federal";"Homicídio doloso";"03/2015";"Masculino";54
"Distrito Federal";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"04/2015";"Feminino";11
"Distrito Federal";"Homicídio doloso";"04/2015";"Masculino";52
"Distrito Federal";"Homicídio doloso";"04/2015";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"05/2015";"Feminino";4
"Distrito Federal";"Homicídio doloso";"05/2015";"Masculino";49
"Distrito Federal";"Homicídio doloso";"05/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"06/2015";"Feminino";9
"Distrito Federal";"Homicídio doloso";"06/2015";"Masculino";47
"Distrito Federal";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"07/2015";"Feminino";5
"Distrito Federal";"Homicídio doloso";"07/2015";"Masculino";45
"Distrito Federal";"Homicídio doloso";"07/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"08/2015";"Feminino";5
"Distrito Federal";"Homicídio doloso";"08/2015";"Masculino";39
"Distrito Federal";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"09/2015";"Feminino";8
"Distrito Federal";"Homicídio doloso";"09/2015";"Masculino";46
"Distrito Federal";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"10/2015";"Feminino";7
"Distrito Federal";"Homicídio doloso";"10/2015";"Masculino";61
"Distrito Federal";"Homicídio doloso";"10/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"11/2015";"Feminino";9
"Distrito Federal";"Homicídio doloso";"11/2015";"Masculino";56
"Distrito Federal";"Homicídio doloso";"11/2015";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"12/2015";"Feminino";5
"Distrito Federal";"Homicídio doloso";"12/2015";"Masculino";73
"Distrito Federal";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"01/2016";"Feminino";6
"Distrito Federal";"Homicídio doloso";"01/2016";"Masculino";82
"Distrito Federal";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"02/2016";"Feminino";5
"Distrito Federal";"Homicídio doloso";"02/2016";"Masculino";52
"Distrito Federal";"Homicídio doloso";"02/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"03/2016";"Feminino";5
"Distrito Federal";"Homicídio doloso";"03/2016";"Masculino";52
"Distrito Federal";"Homicídio doloso";"03/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"04/2016";"Feminino";5
"Distrito Federal";"Homicídio doloso";"04/2016";"Masculino";45
"Distrito Federal";"Homicídio doloso";"04/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"05/2016";"Feminino";5
"Distrito Federal";"Homicídio doloso";"05/2016";"Masculino";46
"Distrito Federal";"Homicídio doloso";"05/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"06/2016";"Feminino";6
"Distrito Federal";"Homicídio doloso";"06/2016";"Masculino";43
"Distrito Federal";"Homicídio doloso";"06/2016";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"07/2016";"Feminino";7
"Distrito Federal";"Homicídio doloso";"07/2016";"Masculino";31
"Distrito Federal";"Homicídio doloso";"07/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"08/2016";"Feminino";4
"Distrito Federal";"Homicídio doloso";"08/2016";"Masculino";59
"Distrito Federal";"Homicídio doloso";"08/2016";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"09/2016";"Feminino";8
"Distrito Federal";"Homicídio doloso";"09/2016";"Masculino";53
"Distrito Federal";"Homicídio doloso";"09/2016";"Sexo NI";1
