"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Espírito Santo";"Homicídio doloso";"01/2015";"Feminino";14
"Espírito Santo";"Homicídio doloso";"01/2015";"Masculino";128
"Espírito Santo";"Homicídio doloso";"01/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"02/2015";"Feminino";24
"Espírito Santo";"Homicídio doloso";"02/2015";"Masculino";125
"Espírito Santo";"Homicídio doloso";"02/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"03/2015";"Feminino";11
"Espírito Santo";"Homicídio doloso";"03/2015";"Masculino";143
"Espírito Santo";"Homicídio doloso";"03/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"04/2015";"Feminino";8
"Espírito Santo";"Homicídio doloso";"04/2015";"Masculino";114
"Espírito Santo";"Homicídio doloso";"04/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"05/2015";"Feminino";8
"Espírito Santo";"Homicídio doloso";"05/2015";"Masculino";89
"Espírito Santo";"Homicídio doloso";"05/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"06/2015";"Feminino";6
"Espírito Santo";"Homicídio doloso";"06/2015";"Masculino";66
"Espírito Santo";"Homicídio doloso";"06/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"07/2015";"Feminino";7
"Espírito Santo";"Homicídio doloso";"07/2015";"Masculino";113
"Espírito Santo";"Homicídio doloso";"07/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"08/2015";"Feminino";16
"Espírito Santo";"Homicídio doloso";"08/2015";"Masculino";87
"Espírito Santo";"Homicídio doloso";"08/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"09/2015";"Feminino";10
"Espírito Santo";"Homicídio doloso";"09/2015";"Masculino";95
"Espírito Santo";"Homicídio doloso";"09/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"10/2015";"Feminino";10
"Espírito Santo";"Homicídio doloso";"10/2015";"Masculino";99
"Espírito Santo";"Homicídio doloso";"10/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"11/2015";"Feminino";11
"Espírito Santo";"Homicídio doloso";"11/2015";"Masculino";97
"Espírito Santo";"Homicídio doloso";"11/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"12/2015";"Feminino";3
"Espírito Santo";"Homicídio doloso";"12/2015";"Masculino";108
"Espírito Santo";"Homicídio doloso";"12/2015";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"01/2016";"Feminino";4
"Espírito Santo";"Homicídio doloso";"01/2016";"Masculino";90
"Espírito Santo";"Homicídio doloso";"01/2016";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"02/2016";"Feminino";11
"Espírito Santo";"Homicídio doloso";"02/2016";"Masculino";111
"Espírito Santo";"Homicídio doloso";"02/2016";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"03/2016";"Feminino";12
"Espírito Santo";"Homicídio doloso";"03/2016";"Masculino";102
