"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Minas Gerais";"Homicídio doloso";"01/2015";"Feminino";47
"Minas Gerais";"Homicídio doloso";"01/2015";"Masculino";352
"Minas Gerais";"Homicídio doloso";"01/2015";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"02/2015";"Feminino";31
"Minas Gerais";"Homicídio doloso";"02/2015";"Masculino";298
"Minas Gerais";"Homicídio doloso";"02/2015";"Sexo NI";2
"Minas Gerais";"Homicídio doloso";"03/2015";"Feminino";28
"Minas Gerais";"Homicídio doloso";"03/2015";"Masculino";316
"Minas Gerais";"Homicídio doloso";"03/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"04/2015";"Feminino";33
"Minas Gerais";"Homicídio doloso";"04/2015";"Masculino";297
"Minas Gerais";"Homicídio doloso";"04/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"05/2015";"Feminino";26
"Minas Gerais";"Homicídio doloso";"05/2015";"Masculino";271
"Minas Gerais";"Homicídio doloso";"05/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"06/2015";"Feminino";36
"Minas Gerais";"Homicídio doloso";"06/2015";"Masculino";266
"Minas Gerais";"Homicídio doloso";"06/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"07/2015";"Feminino";28
"Minas Gerais";"Homicídio doloso";"07/2015";"Masculino";231
"Minas Gerais";"Homicídio doloso";"07/2015";"Sexo NI";2
"Minas Gerais";"Homicídio doloso";"08/2015";"Feminino";31
"Minas Gerais";"Homicídio doloso";"08/2015";"Masculino";329
"Minas Gerais";"Homicídio doloso";"08/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"09/2015";"Feminino";27
"Minas Gerais";"Homicídio doloso";"09/2015";"Masculino";302
"Minas Gerais";"Homicídio doloso";"09/2015";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"10/2015";"Feminino";37
"Minas Gerais";"Homicídio doloso";"10/2015";"Masculino";346
"Minas Gerais";"Homicídio doloso";"10/2015";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"11/2015";"Feminino";41
"Minas Gerais";"Homicídio doloso";"11/2015";"Masculino";363
"Minas Gerais";"Homicídio doloso";"11/2015";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"12/2015";"Feminino";23
"Minas Gerais";"Homicídio doloso";"12/2015";"Masculino";360
"Minas Gerais";"Homicídio doloso";"12/2015";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"01/2016";"Feminino";34
"Minas Gerais";"Homicídio doloso";"01/2016";"Masculino";364
"Minas Gerais";"Homicídio doloso";"01/2016";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"02/2016";"Feminino";33
"Minas Gerais";"Homicídio doloso";"02/2016";"Masculino";309
"Minas Gerais";"Homicídio doloso";"02/2016";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"03/2016";"Feminino";33
"Minas Gerais";"Homicídio doloso";"03/2016";"Masculino";329
"Minas Gerais";"Homicídio doloso";"03/2016";"Sexo NI";2
"Minas Gerais";"Homicídio doloso";"04/2016";"Feminino";28
"Minas Gerais";"Homicídio doloso";"04/2016";"Masculino";324
"Minas Gerais";"Homicídio doloso";"04/2016";"Sexo NI";0
"Minas Gerais";"Homicídio doloso";"05/2016";"Feminino";28
"Minas Gerais";"Homicídio doloso";"05/2016";"Masculino";294
"Minas Gerais";"Homicídio doloso";"05/2016";"Sexo NI";1
"Minas Gerais";"Homicídio doloso";"06/2016";"Feminino";26
