"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso do Sul";"Homicídio Doloso";"01/2012";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"01/2012";"Masculino";44
"Mato Grosso do Sul";"Homicídio Doloso";"01/2012";"Sexo NI";3
"Mato Grosso do Sul";"Homicídio Doloso";"01/2013";"Feminino";1
"Mato Grosso do Sul";"Homicídio Doloso";"01/2013";"Masculino";47
"Mato Grosso do Sul";"Homicídio Doloso";"01/2014";"Feminino";14
"Mato Grosso do Sul";"Homicídio Doloso";"01/2014";"Masculino";45
"Mato Grosso do Sul";"Homicídio Doloso";"01/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"01/2015";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"01/2015";"Masculino";66
"Mato Grosso do Sul";"Homicídio Doloso";"01/2016";"Feminino";8
"Mato Grosso do Sul";"Homicídio Doloso";"01/2016";"Masculino";54
"Mato Grosso do Sul";"Homicídio Doloso";"01/2017";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"01/2017";"Masculino";33
"Mato Grosso do Sul";"Homicídio Doloso";"01/2018";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"01/2018";"Masculino";26
"Mato Grosso do Sul";"Homicídio Doloso";"02/2012";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"02/2012";"Masculino";34
"Mato Grosso do Sul";"Homicídio Doloso";"02/2013";"Feminino";9
"Mato Grosso do Sul";"Homicídio Doloso";"02/2013";"Masculino";41
"Mato Grosso do Sul";"Homicídio Doloso";"02/2013";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"02/2014";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"02/2014";"Masculino";51
"Mato Grosso do Sul";"Homicídio Doloso";"02/2014";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"02/2015";"Feminino";8
