"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Pará";"Homicídio doloso";"01/2015";"Feminino";27
"Pará";"Homicídio doloso";"01/2015";"Masculino";267
"Pará";"Homicídio doloso";"01/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"02/2015";"Feminino";21
"Pará";"Homicídio doloso";"02/2015";"Masculino";226
"Pará";"Homicídio doloso";"02/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"03/2015";"Feminino";18
"Pará";"Homicídio doloso";"03/2015";"Masculino";227
"Pará";"Homicídio doloso";"03/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"04/2015";"Feminino";12
"Pará";"Homicídio doloso";"04/2015";"Masculino";251
"Pará";"Homicídio doloso";"04/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"05/2015";"Feminino";13
"Pará";"Homicídio doloso";"05/2015";"Masculino";268
"Pará";"Homicídio doloso";"05/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"06/2015";"Feminino";13
"Pará";"Homicídio doloso";"06/2015";"Masculino";234
"Pará";"Homicídio doloso";"06/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"07/2015";"Feminino";18
"Pará";"Homicídio doloso";"07/2015";"Masculino";206
"Pará";"Homicídio doloso";"07/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"08/2015";"Feminino";20
"Pará";"Homicídio doloso";"08/2015";"Masculino";247
"Pará";"Homicídio doloso";"08/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"09/2015";"Feminino";22
"Pará";"Homicídio doloso";"09/2015";"Masculino";271
"Pará";"Homicídio doloso";"09/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"10/2015";"Feminino";18
"Pará";"Homicídio doloso";"10/2015";"Masculino";294
"Pará";"Homicídio doloso";"10/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"11/2015";"Feminino";30
"Pará";"Homicídio doloso";"11/2015";"Masculino";320
"Pará";"Homicídio doloso";"11/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"12/2015";"Feminino";19
"Pará";"Homicídio doloso";"12/2015";"Masculino";321
"Pará";"Homicídio doloso";"12/2015";"Sexo NI";0
"Pará";"Homicídio doloso";"01/2016";"Feminino";28
"Pará";"Homicídio doloso";"01/2016";"Masculino";277
"Pará";"Homicídio doloso";"01/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"02/2016";"Feminino";16
"Pará";"Homicídio doloso";"02/2016";"Masculino";269
"Pará";"Homicídio doloso";"02/2016";"Sexo NI";0
"Pará";"Homicídio doloso";"03/2016";"Feminino";13
"Pará";"Homicídio doloso";"03/2016";"Masculino";278
"Pará";"Homicídio doloso";"03/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"04/2016";"Feminino";20
"Pará";"Homicídio doloso";"04/2016";"Masculino";281
"Pará";"Homicídio doloso";"04/2016";"Sexo NI";0
"Pará";"Homicídio doloso";"05/2016";"Feminino";19
"Pará";"Homicídio doloso";"05/2016";"Masculino";274
"Pará";"Homicídio doloso";"05/2016";"Sexo NI";0
"Pará";"Homicídio doloso";"06/2016";"Feminino";16
"Pará";"Homicídio doloso";"06/2016";"Masculino";258
"Pará";"Homicídio doloso";"06/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"07/2016";"Feminino";23
"Pará";"Homicídio doloso";"07/2016";"Masculino";257
"Pará";"Homicídio doloso";"07/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"08/2016";"Feminino";24
"Pará";"Homicídio doloso";"08/2016";"Masculino";293
"Pará";"Homicídio doloso";"08/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"09/2016";"Feminino";22
"Pará";"Homicídio doloso";"09/2016";"Masculino";276
"Pará";"Homicídio doloso";"09/2016";"Sexo NI";1
"Pará";"Homicídio doloso";"10/2016";"Feminino";31
"Pará";"Homicídio doloso";"10/2016";"Masculino";329
"Pará";"Homicídio doloso";"10/2016";"Sexo NI";2
"Pará";"Homicídio doloso";"11/2016";"Feminino";24
"Pará";"Homicídio doloso";"11/2016";"Masculino";282
"Pará";"Homicídio doloso";"11/2016";"Sexo NI";5
"Pará";"Homicídio doloso";"12/2016";"Feminino";24
"Pará";"Homicídio doloso";"12/2016";"Masculino";297
"Pará";"Homicídio doloso";"12/2016";"Sexo NI";1
"Pará";"Homicídio doloso";"01/2017";"Feminino";22
"Pará";"Homicídio doloso";"01/2017";"Masculino";351
"Pará";"Homicídio doloso";"01/2017";"Sexo NI";0
"Pará";"Homicídio doloso";"02/2017";"Feminino";19
"Pará";"Homicídio doloso";"02/2017";"Masculino";284
"Pará";"Homicídio doloso";"02/2017";"Sexo NI";0
"Pará";"Homicídio doloso";"03/2017";"Feminino";26
"Pará";"Homicídio doloso";"03/2017";"Masculino";263
"Pará";"Homicídio doloso";"03/2017";"Sexo NI";0
"Pará";"Homicídio doloso";"04/2017";"Feminino";30
"Pará";"Homicídio doloso";"04/2017";"Masculino";333
"Pará";"Homicídio doloso";"04/2017";"Sexo NI";0
"Pará";"Homicídio doloso";"05/2017";"Feminino";22
"Pará";"Homicídio doloso";"05/2017";"Masculino";341
"Pará";"Homicídio doloso";"05/2017";"Sexo NI";0
"Pará";"Homicídio doloso";"06/2017";"Feminino";18
"Pará";"Homicídio doloso";"06/2017";"Masculino";312
"Pará";"Homicídio doloso";"06/2017";"Sexo NI";0
