"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Paraíba";"Homicídio doloso";"01/2015";"Feminino";9
"Paraíba";"Homicídio doloso";"01/2015";"Masculino";132
"Paraíba";"Homicídio doloso";"01/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"02/2015";"Feminino";7
"Paraíba";"Homicídio doloso";"02/2015";"Masculino";127
"Paraíba";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"03/2015";"Feminino";10
"Paraíba";"Homicídio doloso";"03/2015";"Masculino";105
"Paraíba";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"04/2015";"Feminino";11
"Paraíba";"Homicídio doloso";"04/2015";"Masculino";113
"Paraíba";"Homicídio doloso";"04/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"05/2015";"Feminino";5
"Paraíba";"Homicídio doloso";"05/2015";"Masculino";100
"Paraíba";"Homicídio doloso";"05/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"06/2015";"Feminino";8
"Paraíba";"Homicídio doloso";"06/2015";"Masculino";102
"Paraíba";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"07/2015";"Feminino";8
"Paraíba";"Homicídio doloso";"07/2015";"Masculino";86
"Paraíba";"Homicídio doloso";"07/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"08/2015";"Feminino";8
"Paraíba";"Homicídio doloso";"08/2015";"Masculino";104
"Paraíba";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"09/2015";"Feminino";10
"Paraíba";"Homicídio doloso";"09/2015";"Masculino";120
"Paraíba";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"10/2015";"Feminino";9
"Paraíba";"Homicídio doloso";"10/2015";"Masculino";120
"Paraíba";"Homicídio doloso";"10/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"11/2015";"Feminino";9
"Paraíba";"Homicídio doloso";"11/2015";"Masculino";127
"Paraíba";"Homicídio doloso";"11/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"12/2015";"Feminino";13
"Paraíba";"Homicídio doloso";"12/2015";"Masculino";104
"Paraíba";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"01/2016";"Feminino";8
"Paraíba";"Homicídio doloso";"01/2016";"Masculino";99
"Paraíba";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"02/2016";"Feminino";10
"Paraíba";"Homicídio doloso";"02/2016";"Masculino";123
"Paraíba";"Homicídio doloso";"02/2016";"Sexo NI";"-"
