"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Pernambuco";"Homicídio doloso";"01/2015";"Feminino";20
"Pernambuco";"Homicídio doloso";"01/2015";"Masculino";297
"Pernambuco";"Homicídio doloso";"01/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"02/2015";"Feminino";25
"Pernambuco";"Homicídio doloso";"02/2015";"Masculino";288
"Pernambuco";"Homicídio doloso";"02/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"03/2015";"Feminino";19
"Pernambuco";"Homicídio doloso";"03/2015";"Masculino";310
"Pernambuco";"Homicídio doloso";"03/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"04/2015";"Feminino";20
"Pernambuco";"Homicídio doloso";"04/2015";"Masculino";294
"Pernambuco";"Homicídio doloso";"04/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"05/2015";"Feminino";23
"Pernambuco";"Homicídio doloso";"05/2015";"Masculino";272
"Pernambuco";"Homicídio doloso";"05/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"06/2015";"Feminino";20
"Pernambuco";"Homicídio doloso";"06/2015";"Masculino";237
"Pernambuco";"Homicídio doloso";"06/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"07/2015";"Feminino";15
"Pernambuco";"Homicídio doloso";"07/2015";"Masculino";273
"Pernambuco";"Homicídio doloso";"07/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"08/2015";"Feminino";22
"Pernambuco";"Homicídio doloso";"08/2015";"Masculino";288
"Pernambuco";"Homicídio doloso";"08/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"09/2015";"Feminino";13
"Pernambuco";"Homicídio doloso";"09/2015";"Masculino";268
"Pernambuco";"Homicídio doloso";"09/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"10/2015";"Feminino";19
"Pernambuco";"Homicídio doloso";"10/2015";"Masculino";349
"Pernambuco";"Homicídio doloso";"10/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"11/2015";"Feminino";20
"Pernambuco";"Homicídio doloso";"11/2015";"Masculino";325
"Pernambuco";"Homicídio doloso";"11/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"12/2015";"Feminino";18
"Pernambuco";"Homicídio doloso";"12/2015";"Masculino";315
"Pernambuco";"Homicídio doloso";"12/2015";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"01/2016";"Feminino";21
"Pernambuco";"Homicídio doloso";"01/2016";"Masculino";322
"Pernambuco";"Homicídio doloso";"01/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"02/2016";"Feminino";18
"Pernambuco";"Homicídio doloso";"02/2016";"Masculino";275
"Pernambuco";"Homicídio doloso";"02/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"03/2016";"Feminino";17
"Pernambuco";"Homicídio doloso";"03/2016";"Masculino";358
"Pernambuco";"Homicídio doloso";"03/2016";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"04/2016";"Feminino";19
"Pernambuco";"Homicídio doloso";"04/2016";"Masculino";315
"Pernambuco";"Homicídio doloso";"04/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"05/2016";"Feminino";11
"Pernambuco";"Homicídio doloso";"05/2016";"Masculino";289
"Pernambuco";"Homicídio doloso";"05/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"06/2016";"Feminino";36
"Pernambuco";"Homicídio doloso";"06/2016";"Masculino";278
"Pernambuco";"Homicídio doloso";"06/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"07/2016";"Feminino";24
"Pernambuco";"Homicídio doloso";"07/2016";"Masculino";308
"Pernambuco";"Homicídio doloso";"07/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"08/2016";"Feminino";14
"Pernambuco";"Homicídio doloso";"08/2016";"Masculino";333
"Pernambuco";"Homicídio doloso";"08/2016";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"09/2016";"Feminino";21
"Pernambuco";"Homicídio doloso";"09/2016";"Masculino";337
