"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Piauí";"Homicídio doloso";"01/2015";"Feminino";5
"Piauí";"Homicídio doloso";"01/2015";"Masculino";44
"Piauí";"Homicídio doloso";"01/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"02/2015";"Feminino";5
"Piauí";"Homicídio doloso";"02/2015";"Masculino";46
"Piauí";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"03/2015";"Feminino";4
"Piauí";"Homicídio doloso";"03/2015";"Masculino";49
"Piauí";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"04/2015";"Feminino";3
"Piauí";"Homicídio doloso";"04/2015";"Masculino";37
"Piauí";"Homicídio doloso";"04/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"05/2015";"Feminino";5
"Piauí";"Homicídio doloso";"05/2015";"Masculino";49
"Piauí";"Homicídio doloso";"05/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"06/2015";"Feminino";3
"Piauí";"Homicídio doloso";"06/2015";"Masculino";36
"Piauí";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"07/2015";"Feminino";6
"Piauí";"Homicídio doloso";"07/2015";"Masculino";28
"Piauí";"Homicídio doloso";"07/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"08/2015";"Feminino";7
"Piauí";"Homicídio doloso";"08/2015";"Masculino";43
"Piauí";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"09/2015";"Feminino";3
"Piauí";"Homicídio doloso";"09/2015";"Masculino";46
"Piauí";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"10/2015";"Feminino";5
"Piauí";"Homicídio doloso";"10/2015";"Masculino";51
"Piauí";"Homicídio doloso";"10/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"11/2015";"Feminino";3
"Piauí";"Homicídio doloso";"11/2015";"Masculino";58
"Piauí";"Homicídio doloso";"11/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"12/2015";"Feminino";7
"Piauí";"Homicídio doloso";"12/2015";"Masculino";67
"Piauí";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"01/2016";"Feminino";4
"Piauí";"Homicídio doloso";"01/2016";"Masculino";53
"Piauí";"Homicídio doloso";"01/2016";"Sexo NI";1
"Piauí";"Homicídio doloso";"02/2016";"Feminino";1
"Piauí";"Homicídio doloso";"02/2016";"Masculino";52
"Piauí";"Homicídio doloso";"02/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"03/2016";"Feminino";9
"Piauí";"Homicídio doloso";"03/2016";"Masculino";50
"Piauí";"Homicídio doloso";"03/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"04/2016";"Feminino";3
"Piauí";"Homicídio doloso";"04/2016";"Masculino";42
"Piauí";"Homicídio doloso";"04/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"05/2016";"Feminino";3
"Piauí";"Homicídio doloso";"05/2016";"Masculino";54
"Piauí";"Homicídio doloso";"05/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"06/2016";"Feminino";3
"Piauí";"Homicídio doloso";"06/2016";"Masculino";40
"Piauí";"Homicídio doloso";"06/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"07/2016";"Feminino";4
"Piauí";"Homicídio doloso";"07/2016";"Masculino";48
"Piauí";"Homicídio doloso";"07/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"08/2016";"Feminino";4
"Piauí";"Homicídio doloso";"08/2016";"Masculino";45
"Piauí";"Homicídio doloso";"08/2016";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"09/2016";"Feminino";3
