"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Paraná";"Homicídio doloso";"01/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"01/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"01/2015";"Sexo NI";225
"Paraná";"Homicídio doloso";"02/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"02/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"02/2015";"Sexo NI";233
"Paraná";"Homicídio doloso";"03/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"03/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"03/2015";"Sexo NI";242
"Paraná";"Homicídio doloso";"04/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"04/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"04/2015";"Sexo NI";193
"Paraná";"Homicídio doloso";"05/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"05/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"05/2015";"Sexo NI";180
"Paraná";"Homicídio doloso";"06/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"06/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"06/2015";"Sexo NI";149
"Paraná";"Homicídio doloso";"07/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"07/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"07/2015";"Sexo NI";170
"Paraná";"Homicídio doloso";"08/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"08/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"08/2015";"Sexo NI";203
"Paraná";"Homicídio doloso";"09/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"09/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"09/2015";"Sexo NI";182
"Paraná";"Homicídio doloso";"10/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"10/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"10/2015";"Sexo NI";218
"Paraná";"Homicídio doloso";"11/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"11/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"11/2015";"Sexo NI";191
"Paraná";"Homicídio doloso";"12/2015";"Feminino";"-"
"Paraná";"Homicídio doloso";"12/2015";"Masculino";"-"
"Paraná";"Homicídio doloso";"12/2015";"Sexo NI";230
"Paraná";"Homicídio doloso";"01/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"01/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"01/2016";"Sexo NI";238
"Paraná";"Homicídio doloso";"02/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"02/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"02/2016";"Sexo NI";210
"Paraná";"Homicídio doloso";"03/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"03/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"03/2016";"Sexo NI";239
"Paraná";"Homicídio doloso";"04/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"04/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"04/2016";"Sexo NI";221
"Paraná";"Homicídio doloso";"05/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"05/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"05/2016";"Sexo NI";196
"Paraná";"Homicídio doloso";"06/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"06/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"06/2016";"Sexo NI";172
"Paraná";"Homicídio doloso";"07/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"07/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"07/2016";"Sexo NI";204
"Paraná";"Homicídio doloso";"08/2016";"Feminino";"-"
"Paraná";"Homicídio doloso";"08/2016";"Masculino";"-"
"Paraná";"Homicídio doloso";"08/2016";"Sexo NI";210
"Paraná";"Homicídio doloso";"09/2016";"Feminino";"-"
