"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio de Janeiro";"Homicídio doloso";"01/2015";"Feminino";34
"Rio de Janeiro";"Homicídio doloso";"01/2015";"Masculino";394
"Rio de Janeiro";"Homicídio doloso";"01/2015";"Sexo NI";11
"Rio de Janeiro";"Homicídio doloso";"02/2015";"Feminino";34
"Rio de Janeiro";"Homicídio doloso";"02/2015";"Masculino";280
"Rio de Janeiro";"Homicídio doloso";"02/2015";"Sexo NI";12
"Rio de Janeiro";"Homicídio doloso";"03/2015";"Feminino";31
"Rio de Janeiro";"Homicídio doloso";"03/2015";"Masculino";337
"Rio de Janeiro";"Homicídio doloso";"03/2015";"Sexo NI";14
"Rio de Janeiro";"Homicídio doloso";"04/2015";"Feminino";27
"Rio de Janeiro";"Homicídio doloso";"04/2015";"Masculino";301
"Rio de Janeiro";"Homicídio doloso";"04/2015";"Sexo NI";11
"Rio de Janeiro";"Homicídio doloso";"05/2015";"Feminino";27
"Rio de Janeiro";"Homicídio doloso";"05/2015";"Masculino";316
"Rio de Janeiro";"Homicídio doloso";"05/2015";"Sexo NI";4
"Rio de Janeiro";"Homicídio doloso";"06/2015";"Feminino";30
"Rio de Janeiro";"Homicídio doloso";"06/2015";"Masculino";231
"Rio de Janeiro";"Homicídio doloso";"06/2015";"Sexo NI";11
"Rio de Janeiro";"Homicídio doloso";"07/2015";"Feminino";30
"Rio de Janeiro";"Homicídio doloso";"07/2015";"Masculino";264
"Rio de Janeiro";"Homicídio doloso";"07/2015";"Sexo NI";12
"Rio de Janeiro";"Homicídio doloso";"08/2015";"Feminino";21
"Rio de Janeiro";"Homicídio doloso";"08/2015";"Masculino";307
"Rio de Janeiro";"Homicídio doloso";"08/2015";"Sexo NI";8
"Rio de Janeiro";"Homicídio doloso";"09/2015";"Feminino";35
"Rio de Janeiro";"Homicídio doloso";"09/2015";"Masculino";304
"Rio de Janeiro";"Homicídio doloso";"09/2015";"Sexo NI";12
"Rio de Janeiro";"Homicídio doloso";"10/2015";"Feminino";38
"Rio de Janeiro";"Homicídio doloso";"10/2015";"Masculino";326
"Rio de Janeiro";"Homicídio doloso";"10/2015";"Sexo NI";16
"Rio de Janeiro";"Homicídio doloso";"11/2015";"Feminino";25
"Rio de Janeiro";"Homicídio doloso";"11/2015";"Masculino";311
"Rio de Janeiro";"Homicídio doloso";"11/2015";"Sexo NI";4
"Rio de Janeiro";"Homicídio doloso";"12/2015";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"12/2015";"Masculino";340
