"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio Grande do Norte";"Homicídio doloso";"01/2015";"Feminino";5
"Rio Grande do Norte";"Homicídio doloso";"01/2015";"Masculino";127
"Rio Grande do Norte";"Homicídio doloso";"01/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"02/2015";"Feminino";9
"Rio Grande do Norte";"Homicídio doloso";"02/2015";"Masculino";85
"Rio Grande do Norte";"Homicídio doloso";"02/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"03/2015";"Feminino";4
"Rio Grande do Norte";"Homicídio doloso";"03/2015";"Masculino";124
"Rio Grande do Norte";"Homicídio doloso";"03/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"04/2015";"Feminino";6
"Rio Grande do Norte";"Homicídio doloso";"04/2015";"Masculino";105
"Rio Grande do Norte";"Homicídio doloso";"04/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"05/2015";"Feminino";7
"Rio Grande do Norte";"Homicídio doloso";"05/2015";"Masculino";112
"Rio Grande do Norte";"Homicídio doloso";"05/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"06/2015";"Feminino";7
"Rio Grande do Norte";"Homicídio doloso";"06/2015";"Masculino";92
"Rio Grande do Norte";"Homicídio doloso";"06/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"07/2015";"Feminino";17
"Rio Grande do Norte";"Homicídio doloso";"07/2015";"Masculino";110
"Rio Grande do Norte";"Homicídio doloso";"07/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"08/2015";"Feminino";11
"Rio Grande do Norte";"Homicídio doloso";"08/2015";"Masculino";99
"Rio Grande do Norte";"Homicídio doloso";"08/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"09/2015";"Feminino";5
"Rio Grande do Norte";"Homicídio doloso";"09/2015";"Masculino";109
"Rio Grande do Norte";"Homicídio doloso";"09/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"10/2015";"Feminino";10
"Rio Grande do Norte";"Homicídio doloso";"10/2015";"Masculino";108
"Rio Grande do Norte";"Homicídio doloso";"10/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"11/2015";"Feminino";10
"Rio Grande do Norte";"Homicídio doloso";"11/2015";"Masculino";117
"Rio Grande do Norte";"Homicídio doloso";"11/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"12/2015";"Feminino";5
"Rio Grande do Norte";"Homicídio doloso";"12/2015";"Masculino";114
"Rio Grande do Norte";"Homicídio doloso";"12/2015";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"01/2016";"Feminino";8
"Rio Grande do Norte";"Homicídio doloso";"01/2016";"Masculino";126
"Rio Grande do Norte";"Homicídio doloso";"01/2016";"Sexo NI";1
"Rio Grande do Norte";"Homicídio doloso";"02/2016";"Feminino";3
"Rio Grande do Norte";"Homicídio doloso";"02/2016";"Masculino";138
"Rio Grande do Norte";"Homicídio doloso";"02/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"03/2016";"Feminino";10
"Rio Grande do Norte";"Homicídio doloso";"03/2016";"Masculino";148
"Rio Grande do Norte";"Homicídio doloso";"03/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"04/2016";"Feminino";5
"Rio Grande do Norte";"Homicídio doloso";"04/2016";"Masculino";116
"Rio Grande do Norte";"Homicídio doloso";"04/2016";"Sexo NI";1
"Rio Grande do Norte";"Homicídio doloso";"05/2016";"Feminino";9
"Rio Grande do Norte";"Homicídio doloso";"05/2016";"Masculino";153
"Rio Grande do Norte";"Homicídio doloso";"05/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"06/2016";"Feminino";12
"Rio Grande do Norte";"Homicídio doloso";"06/2016";"Masculino";147
"Rio Grande do Norte";"Homicídio doloso";"06/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"07/2016";"Feminino";3
"Rio Grande do Norte";"Homicídio doloso";"07/2016";"Masculino";134
"Rio Grande do Norte";"Homicídio doloso";"07/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"08/2016";"Feminino";13
"Rio Grande do Norte";"Homicídio doloso";"08/2016";"Masculino";136
"Rio Grande do Norte";"Homicídio doloso";"08/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"09/2016";"Feminino";3
"Rio Grande do Norte";"Homicídio doloso";"09/2016";"Masculino";138
"Rio Grande do Norte";"Homicídio doloso";"09/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"10/2016";"Feminino";11
"Rio Grande do Norte";"Homicídio doloso";"10/2016";"Masculino";155
"Rio Grande do Norte";"Homicídio doloso";"10/2016";"Sexo NI";0
"Rio Grande do Norte";"Homicídio doloso";"11/2016";"Feminino";6
"Rio Grande do Norte";"Homicídio doloso";"11/2016";"Masculino";131
"Rio Grande do Norte";"Homicídio doloso";"11/2016";"Sexo NI";1
"Rio Grande do Norte";"Homicídio doloso";"12/2016";"Feminino";8
"Rio Grande do Norte";"Homicídio doloso";"12/2016";"Masculino";128
"Rio Grande do Norte";"Homicídio doloso";"12/2016";"Sexo NI";1
"Rio Grande do Norte";"Homicídio doloso";"01/2017";"Feminino";6
