"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rondônia";"Homicídio doloso";"01/2015";"Feminino";5
"Rondônia";"Homicídio doloso";"01/2015";"Masculino";30
"Rondônia";"Homicídio doloso";"01/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"02/2015";"Feminino";5
"Rondônia";"Homicídio doloso";"02/2015";"Masculino";35
"Rondônia";"Homicídio doloso";"02/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"03/2015";"Feminino";3
"Rondônia";"Homicídio doloso";"03/2015";"Masculino";39
"Rondônia";"Homicídio doloso";"03/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"04/2015";"Feminino";3
"Rondônia";"Homicídio doloso";"04/2015";"Masculino";45
"Rondônia";"Homicídio doloso";"04/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"05/2015";"Feminino";9
"Rondônia";"Homicídio doloso";"05/2015";"Masculino";40
"Rondônia";"Homicídio doloso";"05/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"06/2015";"Feminino";3
"Rondônia";"Homicídio doloso";"06/2015";"Masculino";30
"Rondônia";"Homicídio doloso";"06/2015";"Sexo NI";1
"Rondônia";"Homicídio doloso";"07/2015";"Feminino";3
"Rondônia";"Homicídio doloso";"07/2015";"Masculino";36
"Rondônia";"Homicídio doloso";"07/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"08/2015";"Feminino";6
"Rondônia";"Homicídio doloso";"08/2015";"Masculino";44
"Rondônia";"Homicídio doloso";"08/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"09/2015";"Feminino";1
"Rondônia";"Homicídio doloso";"09/2015";"Masculino";37
"Rondônia";"Homicídio doloso";"09/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"10/2015";"Feminino";6
"Rondônia";"Homicídio doloso";"10/2015";"Masculino";38
"Rondônia";"Homicídio doloso";"10/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"11/2015";"Feminino";4
"Rondônia";"Homicídio doloso";"11/2015";"Masculino";41
"Rondônia";"Homicídio doloso";"11/2015";"Sexo NI";0
"Rondônia";"Homicídio doloso";"12/2015";"Feminino";7
"Rondônia";"Homicídio doloso";"12/2015";"Masculino";52
