"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Roraima";"Homicídio doloso";"01/2015";"Feminino";2
"Roraima";"Homicídio doloso";"01/2015";"Masculino";6
"Roraima";"Homicídio doloso";"01/2015";"Sexo NI";5
"Roraima";"Homicídio doloso";"02/2015";"Feminino";"-"
"Roraima";"Homicídio doloso";"02/2015";"Masculino";5
"Roraima";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"Roraima";"Homicídio doloso";"03/2015";"Feminino";1
"Roraima";"Homicídio doloso";"03/2015";"Masculino";8
"Roraima";"Homicídio doloso";"03/2015";"Sexo NI";3
"Roraima";"Homicídio doloso";"04/2015";"Feminino";1
"Roraima";"Homicídio doloso";"04/2015";"Masculino";7
"Roraima";"Homicídio doloso";"04/2015";"Sexo NI";2
"Roraima";"Homicídio doloso";"05/2015";"Feminino";1
"Roraima";"Homicídio doloso";"05/2015";"Masculino";7
"Roraima";"Homicídio doloso";"05/2015";"Sexo NI";0
"Roraima";"Homicídio doloso";"06/2015";"Feminino";1
"Roraima";"Homicídio doloso";"06/2015";"Masculino";8
"Roraima";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"Roraima";"Homicídio doloso";"07/2015";"Feminino";0
"Roraima";"Homicídio doloso";"07/2015";"Masculino";4
"Roraima";"Homicídio doloso";"07/2015";"Sexo NI";0
"Roraima";"Homicídio doloso";"08/2015";"Feminino";0
"Roraima";"Homicídio doloso";"08/2015";"Masculino";12
"Roraima";"Homicídio doloso";"08/2015";"Sexo NI";0
"Roraima";"Homicídio doloso";"09/2015";"Feminino";1
"Roraima";"Homicídio doloso";"09/2015";"Masculino";4
"Roraima";"Homicídio doloso";"09/2015";"Sexo NI";4
"Roraima";"Homicídio doloso";"10/2015";"Feminino";0
"Roraima";"Homicídio doloso";"10/2015";"Masculino";8
"Roraima";"Homicídio doloso";"10/2015";"Sexo NI";0
"Roraima";"Homicídio doloso";"11/2015";"Feminino";1
"Roraima";"Homicídio doloso";"11/2015";"Masculino";12
"Roraima";"Homicídio doloso";"11/2015";"Sexo NI";0
"Roraima";"Homicídio doloso";"12/2015";"Feminino";"-"
"Roraima";"Homicídio doloso";"12/2015";"Masculino";4
"Roraima";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"Roraima";"Homicídio doloso";"01/2016";"Feminino";1
"Roraima";"Homicídio doloso";"01/2016";"Masculino";9
"Roraima";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"Roraima";"Homicídio doloso";"02/2016";"Feminino";1
"Roraima";"Homicídio doloso";"02/2016";"Masculino";8
"Roraima";"Homicídio doloso";"02/2016";"Sexo NI";"-"
"Roraima";"Homicídio doloso";"03/2016";"Feminino";1
"Roraima";"Homicídio doloso";"03/2016";"Masculino";14
"Roraima";"Homicídio doloso";"03/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"04/2016";"Feminino";0
"Roraima";"Homicídio doloso";"04/2016";"Masculino";4
"Roraima";"Homicídio doloso";"04/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"05/2016";"Feminino";2
"Roraima";"Homicídio doloso";"05/2016";"Masculino";8
"Roraima";"Homicídio doloso";"05/2016";"Sexo NI";1
"Roraima";"Homicídio doloso";"06/2016";"Feminino";1
"Roraima";"Homicídio doloso";"06/2016";"Masculino";3
"Roraima";"Homicídio doloso";"06/2016";"Sexo NI";1
"Roraima";"Homicídio doloso";"07/2016";"Feminino";1
"Roraima";"Homicídio doloso";"07/2016";"Masculino";7
"Roraima";"Homicídio doloso";"07/2016";"Sexo NI";5
"Roraima";"Homicídio doloso";"08/2016";"Feminino";0
"Roraima";"Homicídio doloso";"08/2016";"Masculino";9
"Roraima";"Homicídio doloso";"08/2016";"Sexo NI";1
"Roraima";"Homicídio doloso";"09/2016";"Feminino";2
"Roraima";"Homicídio doloso";"09/2016";"Masculino";5
"Roraima";"Homicídio doloso";"09/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"10/2016";"Feminino";0
"Roraima";"Homicídio doloso";"10/2016";"Masculino";16
"Roraima";"Homicídio doloso";"10/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"11/2016";"Feminino";1
"Roraima";"Homicídio doloso";"11/2016";"Masculino";9
"Roraima";"Homicídio doloso";"11/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"12/2016";"Feminino";5
"Roraima";"Homicídio doloso";"12/2016";"Masculino";16
"Roraima";"Homicídio doloso";"12/2016";"Sexo NI";0
"Roraima";"Homicídio doloso";"01/2017";"Feminino";1
"Roraima";"Homicídio doloso";"01/2017";"Masculino";41
"Roraima";"Homicídio doloso";"01/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"02/2017";"Feminino";1
"Roraima";"Homicídio doloso";"02/2017";"Masculino";10
"Roraima";"Homicídio doloso";"02/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"03/2017";"Feminino";0
"Roraima";"Homicídio doloso";"03/2017";"Masculino";11
"Roraima";"Homicídio doloso";"03/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"04/2017";"Feminino";0
"Roraima";"Homicídio doloso";"04/2017";"Masculino";12
"Roraima";"Homicídio doloso";"04/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"05/2017";"Feminino";3
"Roraima";"Homicídio doloso";"05/2017";"Masculino";12
"Roraima";"Homicídio doloso";"05/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"06/2017";"Feminino";0
"Roraima";"Homicídio doloso";"06/2017";"Masculino";8
"Roraima";"Homicídio doloso";"06/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"07/2017";"Feminino";0
"Roraima";"Homicídio doloso";"07/2017";"Masculino";18
"Roraima";"Homicídio doloso";"07/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"08/2017";"Feminino";0
"Roraima";"Homicídio doloso";"08/2017";"Masculino";17
"Roraima";"Homicídio doloso";"08/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"09/2017";"Feminino";0
"Roraima";"Homicídio doloso";"09/2017";"Masculino";8
"Roraima";"Homicídio doloso";"09/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"10/2017";"Feminino";1
"Roraima";"Homicídio doloso";"10/2017";"Masculino";18
"Roraima";"Homicídio doloso";"10/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"11/2017";"Feminino";1
"Roraima";"Homicídio doloso";"11/2017";"Masculino";8
"Roraima";"Homicídio doloso";"11/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"12/2017";"Feminino";3
"Roraima";"Homicídio doloso";"12/2017";"Masculino";17
"Roraima";"Homicídio doloso";"12/2017";"Sexo NI";0
"Roraima";"Homicídio doloso";"01/2018";"Feminino";4
"Roraima";"Homicídio doloso";"01/2018";"Masculino";23
"Roraima";"Homicídio doloso";"01/2018";"Sexo NI";2
"Roraima";"Homicídio doloso";"02/2018";"Feminino";1
"Roraima";"Homicídio doloso";"02/2018";"Masculino";8
"Roraima";"Homicídio doloso";"02/2018";"Sexo NI";0
"Roraima";"Homicídio doloso";"03/2018";"Feminino";2
"Roraima";"Homicídio doloso";"03/2018";"Masculino";31
"Roraima";"Homicídio doloso";"03/2018";"Sexo NI";0
"Roraima";"Homicídio doloso";"04/2018";"Feminino";2
"Roraima";"Homicídio doloso";"04/2018";"Masculino";26
"Roraima";"Homicídio doloso";"04/2018";"Sexo NI";0
"Roraima";"Homicídio doloso";"05/2018";"Feminino";2
"Roraima";"Homicídio doloso";"05/2018";"Masculino";21
"Roraima";"Homicídio doloso";"05/2018";"Sexo NI";1
"Roraima";"Homicídio doloso";"06/2018";"Feminino";0
"Roraima";"Homicídio doloso";"06/2018";"Masculino";18
"Roraima";"Homicídio doloso";"06/2018";"Sexo NI";1
"Roraima";"Homicídio doloso";"07/2018";"Feminino";0
"Roraima";"Homicídio doloso";"07/2018";"Masculino";22
"Roraima";"Homicídio doloso";"07/2018";"Sexo NI";2
"Roraima";"Homicídio doloso";"08/2018";"Feminino";2
"Roraima";"Homicídio doloso";"08/2018";"Masculino";19
"Roraima";"Homicídio doloso";"08/2018";"Sexo NI";1
"Roraima";"Homicídio doloso";"09/2018";"Feminino";5
"Roraima";"Homicídio doloso";"09/2018";"Masculino";44
"Roraima";"Homicídio doloso";"09/2018";"Sexo NI";0
"Roraima";"Homicídio doloso";"10/2018";"Feminino";2
