"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio Grande do Sul";"Homicídio doloso";"01/2015";"Feminino";32
"Rio Grande do Sul";"Homicídio doloso";"01/2015";"Masculino";246
"Rio Grande do Sul";"Homicídio doloso";"01/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"02/2015";"Feminino";29
"Rio Grande do Sul";"Homicídio doloso";"02/2015";"Masculino";222
"Rio Grande do Sul";"Homicídio doloso";"02/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"03/2015";"Feminino";34
"Rio Grande do Sul";"Homicídio doloso";"03/2015";"Masculino";266
"Rio Grande do Sul";"Homicídio doloso";"03/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"04/2015";"Feminino";22
"Rio Grande do Sul";"Homicídio doloso";"04/2015";"Masculino";193
"Rio Grande do Sul";"Homicídio doloso";"04/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"05/2015";"Feminino";25
"Rio Grande do Sul";"Homicídio doloso";"05/2015";"Masculino";212
"Rio Grande do Sul";"Homicídio doloso";"05/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"06/2015";"Feminino";27
"Rio Grande do Sul";"Homicídio doloso";"06/2015";"Masculino";185
"Rio Grande do Sul";"Homicídio doloso";"06/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"07/2015";"Feminino";21
"Rio Grande do Sul";"Homicídio doloso";"07/2015";"Masculino";142
"Rio Grande do Sul";"Homicídio doloso";"07/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"08/2015";"Feminino";33
"Rio Grande do Sul";"Homicídio doloso";"08/2015";"Masculino";235
"Rio Grande do Sul";"Homicídio doloso";"08/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"09/2015";"Feminino";33
"Rio Grande do Sul";"Homicídio doloso";"09/2015";"Masculino";256
"Rio Grande do Sul";"Homicídio doloso";"09/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"10/2015";"Feminino";22
"Rio Grande do Sul";"Homicídio doloso";"10/2015";"Masculino";215
"Rio Grande do Sul";"Homicídio doloso";"10/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"11/2015";"Feminino";25
"Rio Grande do Sul";"Homicídio doloso";"11/2015";"Masculino";233
"Rio Grande do Sul";"Homicídio doloso";"11/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"12/2015";"Feminino";35
"Rio Grande do Sul";"Homicídio doloso";"12/2015";"Masculino";251
"Rio Grande do Sul";"Homicídio doloso";"12/2015";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"01/2016";"Feminino";30
"Rio Grande do Sul";"Homicídio doloso";"01/2016";"Masculino";266
"Rio Grande do Sul";"Homicídio doloso";"01/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"02/2016";"Feminino";42
"Rio Grande do Sul";"Homicídio doloso";"02/2016";"Masculino";269
"Rio Grande do Sul";"Homicídio doloso";"02/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"03/2016";"Feminino";30
"Rio Grande do Sul";"Homicídio doloso";"03/2016";"Masculino";214
"Rio Grande do Sul";"Homicídio doloso";"03/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"04/2016";"Feminino";33
"Rio Grande do Sul";"Homicídio doloso";"04/2016";"Masculino";219
"Rio Grande do Sul";"Homicídio doloso";"04/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"05/2016";"Feminino";18
"Rio Grande do Sul";"Homicídio doloso";"05/2016";"Masculino";238
"Rio Grande do Sul";"Homicídio doloso";"05/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"06/2016";"Feminino";22
"Rio Grande do Sul";"Homicídio doloso";"06/2016";"Masculino";198
"Rio Grande do Sul";"Homicídio doloso";"06/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"07/2016";"Feminino";35
"Rio Grande do Sul";"Homicídio doloso";"07/2016";"Masculino";252
"Rio Grande do Sul";"Homicídio doloso";"07/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"08/2016";"Feminino";36
"Rio Grande do Sul";"Homicídio doloso";"08/2016";"Masculino";226
"Rio Grande do Sul";"Homicídio doloso";"08/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"09/2016";"Feminino";30
"Rio Grande do Sul";"Homicídio doloso";"09/2016";"Masculino";201
"Rio Grande do Sul";"Homicídio doloso";"09/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"10/2016";"Feminino";35
"Rio Grande do Sul";"Homicídio doloso";"10/2016";"Masculino";220
"Rio Grande do Sul";"Homicídio doloso";"10/2016";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"11/2016";"Feminino";29
