"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Santa Catarina";"Homicídio doloso";"01/2015";"Feminino";12
"Santa Catarina";"Homicídio doloso";"01/2015";"Masculino";63
"Santa Catarina";"Homicídio doloso";"01/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"02/2015";"Feminino";17
"Santa Catarina";"Homicídio doloso";"02/2015";"Masculino";40
"Santa Catarina";"Homicídio doloso";"02/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"03/2015";"Feminino";13
"Santa Catarina";"Homicídio doloso";"03/2015";"Masculino";55
"Santa Catarina";"Homicídio doloso";"03/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"04/2015";"Feminino";4
"Santa Catarina";"Homicídio doloso";"04/2015";"Masculino";57
"Santa Catarina";"Homicídio doloso";"04/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"05/2015";"Feminino";7
"Santa Catarina";"Homicídio doloso";"05/2015";"Masculino";59
"Santa Catarina";"Homicídio doloso";"05/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"06/2015";"Feminino";4
"Santa Catarina";"Homicídio doloso";"06/2015";"Masculino";55
"Santa Catarina";"Homicídio doloso";"06/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"07/2015";"Feminino";5
"Santa Catarina";"Homicídio doloso";"07/2015";"Masculino";50
"Santa Catarina";"Homicídio doloso";"07/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"08/2015";"Feminino";7
"Santa Catarina";"Homicídio doloso";"08/2015";"Masculino";67
"Santa Catarina";"Homicídio doloso";"08/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"09/2015";"Feminino";7
"Santa Catarina";"Homicídio doloso";"09/2015";"Masculino";63
"Santa Catarina";"Homicídio doloso";"09/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"10/2015";"Feminino";5
"Santa Catarina";"Homicídio doloso";"10/2015";"Masculino";58
"Santa Catarina";"Homicídio doloso";"10/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"11/2015";"Feminino";12
"Santa Catarina";"Homicídio doloso";"11/2015";"Masculino";70
"Santa Catarina";"Homicídio doloso";"11/2015";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"12/2015";"Feminino";3
"Santa Catarina";"Homicídio doloso";"12/2015";"Masculino";93
"Santa Catarina";"Homicídio doloso";"12/2015";"Sexo NI";1
"Santa Catarina";"Homicídio doloso";"01/2016";"Feminino";12
"Santa Catarina";"Homicídio doloso";"01/2016";"Masculino";82
"Santa Catarina";"Homicídio doloso";"01/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"02/2016";"Feminino";10
"Santa Catarina";"Homicídio doloso";"02/2016";"Masculino";64
"Santa Catarina";"Homicídio doloso";"02/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"03/2016";"Feminino";14
"Santa Catarina";"Homicídio doloso";"03/2016";"Masculino";68
"Santa Catarina";"Homicídio doloso";"03/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"04/2016";"Feminino";15
"Santa Catarina";"Homicídio doloso";"04/2016";"Masculino";63
"Santa Catarina";"Homicídio doloso";"04/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"05/2016";"Feminino";6
"Santa Catarina";"Homicídio doloso";"05/2016";"Masculino";45
"Santa Catarina";"Homicídio doloso";"05/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"06/2016";"Feminino";6
"Santa Catarina";"Homicídio doloso";"06/2016";"Masculino";64
"Santa Catarina";"Homicídio doloso";"06/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"07/2016";"Feminino";2
"Santa Catarina";"Homicídio doloso";"07/2016";"Masculino";53
"Santa Catarina";"Homicídio doloso";"07/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"08/2016";"Feminino";9
"Santa Catarina";"Homicídio doloso";"08/2016";"Masculino";62
"Santa Catarina";"Homicídio doloso";"08/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"09/2016";"Feminino";9
"Santa Catarina";"Homicídio doloso";"09/2016";"Masculino";73
"Santa Catarina";"Homicídio doloso";"09/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"10/2016";"Feminino";8
"Santa Catarina";"Homicídio doloso";"10/2016";"Masculino";73
"Santa Catarina";"Homicídio doloso";"10/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"11/2016";"Feminino";14
"Santa Catarina";"Homicídio doloso";"11/2016";"Masculino";70
"Santa Catarina";"Homicídio doloso";"11/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"12/2016";"Feminino";12
"Santa Catarina";"Homicídio doloso";"12/2016";"Masculino";63
"Santa Catarina";"Homicídio doloso";"12/2016";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"01/2017";"Feminino";12
"Santa Catarina";"Homicídio doloso";"01/2017";"Masculino";80
"Santa Catarina";"Homicídio doloso";"01/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"02/2017";"Feminino";9
"Santa Catarina";"Homicídio doloso";"02/2017";"Masculino";90
"Santa Catarina";"Homicídio doloso";"02/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"03/2017";"Feminino";7
"Santa Catarina";"Homicídio doloso";"03/2017";"Masculino";84
"Santa Catarina";"Homicídio doloso";"03/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"04/2017";"Feminino";6
"Santa Catarina";"Homicídio doloso";"04/2017";"Masculino";67
"Santa Catarina";"Homicídio doloso";"04/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"05/2017";"Feminino";13
"Santa Catarina";"Homicídio doloso";"05/2017";"Masculino";81
"Santa Catarina";"Homicídio doloso";"05/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"06/2017";"Feminino";6
"Santa Catarina";"Homicídio doloso";"06/2017";"Masculino";59
"Santa Catarina";"Homicídio doloso";"06/2017";"Sexo NI";1
"Santa Catarina";"Homicídio doloso";"07/2017";"Feminino";9
"Santa Catarina";"Homicídio doloso";"07/2017";"Masculino";73
"Santa Catarina";"Homicídio doloso";"07/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"08/2017";"Feminino";7
"Santa Catarina";"Homicídio doloso";"08/2017";"Masculino";61
"Santa Catarina";"Homicídio doloso";"08/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"09/2017";"Feminino";7
"Santa Catarina";"Homicídio doloso";"09/2017";"Masculino";62
"Santa Catarina";"Homicídio doloso";"09/2017";"Sexo NI";1
"Santa Catarina";"Homicídio doloso";"10/2017";"Feminino";10
"Santa Catarina";"Homicídio doloso";"10/2017";"Masculino";70
"Santa Catarina";"Homicídio doloso";"10/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"11/2017";"Feminino";8
"Santa Catarina";"Homicídio doloso";"11/2017";"Masculino";69
"Santa Catarina";"Homicídio doloso";"11/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"12/2017";"Feminino";17
"Santa Catarina";"Homicídio doloso";"12/2017";"Masculino";79
"Santa Catarina";"Homicídio doloso";"12/2017";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"01/2018";"Feminino";7
"Santa Catarina";"Homicídio doloso";"01/2018";"Masculino";80
"Santa Catarina";"Homicídio doloso";"01/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"02/2018";"Feminino";9
"Santa Catarina";"Homicídio doloso";"02/2018";"Masculino";70
"Santa Catarina";"Homicídio doloso";"02/2018";"Sexo NI";1
"Santa Catarina";"Homicídio doloso";"03/2018";"Feminino";5
"Santa Catarina";"Homicídio doloso";"03/2018";"Masculino";58
"Santa Catarina";"Homicídio doloso";"03/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"04/2018";"Feminino";12
"Santa Catarina";"Homicídio doloso";"04/2018";"Masculino";67
"Santa Catarina";"Homicídio doloso";"04/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"05/2018";"Feminino";13
"Santa Catarina";"Homicídio doloso";"05/2018";"Masculino";63
"Santa Catarina";"Homicídio doloso";"05/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"06/2018";"Feminino";8
"Santa Catarina";"Homicídio doloso";"06/2018";"Masculino";51
"Santa Catarina";"Homicídio doloso";"06/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"07/2018";"Feminino";8
"Santa Catarina";"Homicídio doloso";"07/2018";"Masculino";44
"Santa Catarina";"Homicídio doloso";"07/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"08/2018";"Feminino";4
"Santa Catarina";"Homicídio doloso";"08/2018";"Masculino";48
"Santa Catarina";"Homicídio doloso";"08/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"09/2018";"Feminino";12
"Santa Catarina";"Homicídio doloso";"09/2018";"Masculino";56
"Santa Catarina";"Homicídio doloso";"09/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"10/2018";"Feminino";4
"Santa Catarina";"Homicídio doloso";"10/2018";"Masculino";42
"Santa Catarina";"Homicídio doloso";"10/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"11/2018";"Feminino";7
"Santa Catarina";"Homicídio doloso";"11/2018";"Masculino";48
"Santa Catarina";"Homicídio doloso";"11/2018";"Sexo NI";0
"Santa Catarina";"Homicídio doloso";"12/2018";"Feminino";6
"Santa Catarina";"Homicídio doloso";"12/2018";"Masculino";54
"Santa Catarina";"Homicídio doloso";"12/2018";"Sexo NI";0
