"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Sergipe";"Homicídio doloso";"01/2015";"Feminino";9
"Sergipe";"Homicídio doloso";"01/2015";"Masculino";105
"Sergipe";"Homicídio doloso";"01/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"02/2015";"Feminino";5
"Sergipe";"Homicídio doloso";"02/2015";"Masculino";101
"Sergipe";"Homicídio doloso";"02/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"03/2015";"Feminino";3
"Sergipe";"Homicídio doloso";"03/2015";"Masculino";106
"Sergipe";"Homicídio doloso";"03/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"04/2015";"Feminino";4
"Sergipe";"Homicídio doloso";"04/2015";"Masculino";89
"Sergipe";"Homicídio doloso";"04/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"05/2015";"Feminino";7
"Sergipe";"Homicídio doloso";"05/2015";"Masculino";107
"Sergipe";"Homicídio doloso";"05/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"06/2015";"Feminino";3
"Sergipe";"Homicídio doloso";"06/2015";"Masculino";80
"Sergipe";"Homicídio doloso";"06/2015";"Sexo NI";1
"Sergipe";"Homicídio doloso";"07/2015";"Feminino";7
"Sergipe";"Homicídio doloso";"07/2015";"Masculino";72
"Sergipe";"Homicídio doloso";"07/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"08/2015";"Feminino";1
"Sergipe";"Homicídio doloso";"08/2015";"Masculino";90
"Sergipe";"Homicídio doloso";"08/2015";"Sexo NI";2
"Sergipe";"Homicídio doloso";"09/2015";"Feminino";4
"Sergipe";"Homicídio doloso";"09/2015";"Masculino";73
"Sergipe";"Homicídio doloso";"09/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"10/2015";"Feminino";7
"Sergipe";"Homicídio doloso";"10/2015";"Masculino";91
"Sergipe";"Homicídio doloso";"10/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"11/2015";"Feminino";7
"Sergipe";"Homicídio doloso";"11/2015";"Masculino";111
"Sergipe";"Homicídio doloso";"11/2015";"Sexo NI";1
"Sergipe";"Homicídio doloso";"12/2015";"Feminino";5
"Sergipe";"Homicídio doloso";"12/2015";"Masculino";105
"Sergipe";"Homicídio doloso";"12/2015";"Sexo NI";0
"Sergipe";"Homicídio doloso";"01/2016";"Feminino";3
"Sergipe";"Homicídio doloso";"01/2016";"Masculino";114
"Sergipe";"Homicídio doloso";"01/2016";"Sexo NI";0
"Sergipe";"Homicídio doloso";"02/2016";"Feminino";5
"Sergipe";"Homicídio doloso";"02/2016";"Masculino";110
"Sergipe";"Homicídio doloso";"02/2016";"Sexo NI";0
"Sergipe";"Homicídio doloso";"03/2016";"Feminino";4
"Sergipe";"Homicídio doloso";"03/2016";"Masculino";107
"Sergipe";"Homicídio doloso";"03/2016";"Sexo NI";0
"Sergipe";"Homicídio doloso";"04/2016";"Feminino";0
"Sergipe";"Homicídio doloso";"04/2016";"Masculino";97
"Sergipe";"Homicídio doloso";"04/2016";"Sexo NI";0
"Sergipe";"Homicídio doloso";"05/2016";"Feminino";2
"Sergipe";"Homicídio doloso";"05/2016";"Masculino";72
"Sergipe";"Homicídio doloso";"05/2016";"Sexo NI";0
"Sergipe";"Homicídio doloso";"06/2016";"Feminino";4
"Sergipe";"Homicídio doloso";"06/2016";"Masculino";104
"Sergipe";"Homicídio doloso";"06/2016";"Sexo NI";0
