"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"São Paulo";"Homicídio doloso";"01/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"01/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"01/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"02/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"02/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"02/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"03/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"03/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"03/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"04/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"04/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"04/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"05/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"05/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"05/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"06/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"06/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"06/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"07/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"07/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"07/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"08/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"08/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"08/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"09/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"09/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"09/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"10/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"10/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"10/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"11/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"11/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"11/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"12/2015";"Feminino";"-"
"São Paulo";"Homicídio doloso";"12/2015";"Masculino";"-"
"São Paulo";"Homicídio doloso";"12/2015";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"01/2016";"Feminino";"-"
"São Paulo";"Homicídio doloso";"01/2016";"Masculino";"-"
"São Paulo";"Homicídio doloso";"01/2016";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"02/2016";"Feminino";"-"
"São Paulo";"Homicídio doloso";"02/2016";"Masculino";"-"
"São Paulo";"Homicídio doloso";"02/2016";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"03/2016";"Feminino";"-"
"São Paulo";"Homicídio doloso";"03/2016";"Masculino";"-"
"São Paulo";"Homicídio doloso";"03/2016";"Sexo NI";"-"
"São Paulo";"Homicídio doloso";"04/2016";"Feminino";"-"
