"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Alagoas";"Estupro";"01/2015";38
"Alagoas";"Estupro";"02/2015";40
"Alagoas";"Estupro";"03/2015";55
"Alagoas";"Estupro";"04/2015";52
"Alagoas";"Estupro";"05/2015";47
"Alagoas";"Estupro";"06/2015";42
"Alagoas";"Estupro";"07/2015";45
"Alagoas";"Estupro";"08/2015";53
"Alagoas";"Estupro";"09/2015";42
"Alagoas";"Estupro";"10/2015";60
"Alagoas";"Estupro";"11/2015";45
"Alagoas";"Estupro";"12/2015";48
"Alagoas";"Estupro";"01/2016";48
"Alagoas";"Estupro";"02/2016";40
"Alagoas";"Estupro";"03/2016";42
"Alagoas";"Estupro";"04/2016";30
"Alagoas";"Estupro";"05/2016";40
"Alagoas";"Estupro";"06/2016";52
"Alagoas";"Estupro";"07/2016";44
"Alagoas";"Estupro";"08/2016";54
"Alagoas";"Estupro";"09/2016";51
"Alagoas";"Estupro";"10/2016";44
"Alagoas";"Estupro";"11/2016";43
"Alagoas";"Estupro";"12/2016";56
"Alagoas";"Estupro";"01/2017";63
"Alagoas";"Estupro";"02/2017";58
"Alagoas";"Estupro";"03/2017";62
"Alagoas";"Estupro";"04/2017";52
"Alagoas";"Estupro";"05/2017";58
"Alagoas";"Estupro";"06/2017";47
"Alagoas";"Estupro";"07/2017";53
"Alagoas";"Estupro";"08/2017";49
"Alagoas";"Estupro";"09/2017";60
"Alagoas";"Estupro";"10/2017";45
"Alagoas";"Estupro";"11/2017";61
"Alagoas";"Estupro";"12/2017";68
"Alagoas";"Estupro";"01/2018";58
"Alagoas";"Estupro";"02/2018";44
"Alagoas";"Estupro";"03/2018";60
"Alagoas";"Estupro";"04/2018";46
"Alagoas";"Estupro";"05/2018";44
"Alagoas";"Estupro";"06/2018";34
"Alagoas";"Estupro";"07/2018";34
"Alagoas";"Estupro";"08/2018";43
"Alagoas";"Estupro";"09/2018";30
"Alagoas";"Estupro";"10/2018";22
"Alagoas";"Estupro";"11/2018";20
"Alagoas";"Estupro";"12/2018";20
"Alagoas";"Furto de veículo";"01/2015";67
"Alagoas";"Furto de veículo";"02/2015";51
"Alagoas";"Furto de veículo";"03/2015";41
"Alagoas";"Furto de veículo";"04/2015";52
"Alagoas";"Furto de veículo";"05/2015";57
"Alagoas";"Furto de veículo";"06/2015";62
"Alagoas";"Furto de veículo";"07/2015";77
"Alagoas";"Furto de veículo";"08/2015";53
"Alagoas";"Furto de veículo";"09/2015";52
"Alagoas";"Furto de veículo";"10/2015";47
"Alagoas";"Furto de veículo";"11/2015";75
"Alagoas";"Furto de veículo";"12/2015";62
"Alagoas";"Furto de veículo";"01/2016";73
"Alagoas";"Furto de veículo";"02/2016";67
"Alagoas";"Furto de veículo";"03/2016";76
"Alagoas";"Furto de veículo";"04/2016";62
"Alagoas";"Furto de veículo";"05/2016";65
"Alagoas";"Furto de veículo";"06/2016";78
"Alagoas";"Furto de veículo";"07/2016";64
"Alagoas";"Furto de veículo";"08/2016";69
"Alagoas";"Furto de veículo";"09/2016";64
"Alagoas";"Furto de veículo";"10/2016";62
"Alagoas";"Furto de veículo";"11/2016";69
"Alagoas";"Furto de veículo";"12/2016";70
"Alagoas";"Furto de veículo";"01/2017";91
"Alagoas";"Furto de veículo";"02/2017";72
"Alagoas";"Furto de veículo";"03/2017";96
"Alagoas";"Furto de veículo";"04/2017";67
"Alagoas";"Furto de veículo";"05/2017";67
"Alagoas";"Furto de veículo";"06/2017";89
"Alagoas";"Furto de veículo";"07/2017";92
"Alagoas";"Furto de veículo";"08/2017";129
"Alagoas";"Furto de veículo";"09/2017";103
"Alagoas";"Furto de veículo";"10/2017";134
"Alagoas";"Furto de veículo";"11/2017";115
"Alagoas";"Furto de veículo";"12/2017";139
"Alagoas";"Furto de veículo";"01/2018";132
"Alagoas";"Furto de veículo";"02/2018";106
"Alagoas";"Furto de veículo";"03/2018";101
"Alagoas";"Furto de veículo";"04/2018";119
"Alagoas";"Furto de veículo";"05/2018";116
"Alagoas";"Furto de veículo";"06/2018";135
"Alagoas";"Furto de veículo";"07/2018";99
"Alagoas";"Furto de veículo";"08/2018";102
"Alagoas";"Furto de veículo";"09/2018";74
"Alagoas";"Furto de veículo";"10/2018";70
"Alagoas";"Furto de veículo";"11/2018";54
"Alagoas";"Furto de veículo";"12/2018";50
"Alagoas";"Homicídio doloso";"01/2015";186
"Alagoas";"Homicídio doloso";"02/2015";147
"Alagoas";"Homicídio doloso";"03/2015";132
"Alagoas";"Homicídio doloso";"04/2015";127
"Alagoas";"Homicídio doloso";"05/2015";121
