"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Goiás";"Estupro";"01/2015";47
"Goiás";"Estupro";"02/2015";42
"Goiás";"Estupro";"03/2015";33
"Goiás";"Estupro";"04/2015";44
"Goiás";"Estupro";"05/2015";52
"Goiás";"Estupro";"06/2015";41
"Goiás";"Estupro";"07/2015";44
"Goiás";"Estupro";"08/2015";50
"Goiás";"Estupro";"09/2015";44
"Goiás";"Estupro";"10/2015";53
"Goiás";"Estupro";"11/2015";45
"Goiás";"Estupro";"12/2015";40
"Goiás";"Estupro";"01/2016";54
"Goiás";"Estupro";"02/2016";40
"Goiás";"Estupro";"03/2016";50
"Goiás";"Estupro";"04/2016";51
"Goiás";"Estupro";"05/2016";49
"Goiás";"Estupro";"06/2016";51
"Goiás";"Estupro";"07/2016";53
"Goiás";"Estupro";"08/2016";59
"Goiás";"Estupro";"09/2016";54
"Goiás";"Estupro";"10/2016";60
"Goiás";"Estupro";"11/2016";59
"Goiás";"Estupro";"12/2016";47
"Goiás";"Estupro";"01/2017";45
"Goiás";"Estupro";"02/2017";36
"Goiás";"Estupro";"03/2017";42
"Goiás";"Estupro";"04/2017";51
"Goiás";"Estupro";"05/2017";60
"Goiás";"Estupro";"06/2017";48
"Goiás";"Estupro";"07/2017";53
"Goiás";"Estupro";"08/2017";45
"Goiás";"Estupro";"09/2017";63
"Goiás";"Estupro";"10/2017";74
"Goiás";"Estupro";"11/2017";47
"Goiás";"Estupro";"12/2017";63
"Goiás";"Estupro";"01/2018";58
"Goiás";"Estupro";"02/2018";44
"Goiás";"Estupro";"03/2018";72
"Goiás";"Estupro";"04/2018";67
"Goiás";"Estupro";"05/2018";51
"Goiás";"Estupro";"06/2018";49
"Goiás";"Estupro";"07/2018";36
"Goiás";"Estupro";"08/2018";61
"Goiás";"Estupro";"09/2018";50
"Goiás";"Estupro";"10/2018";53
"Goiás";"Estupro";"11/2018";50
"Goiás";"Estupro";"12/2018";50
"Goiás";"Furto de veículo";"01/2015";951
"Goiás";"Furto de veículo";"02/2015";841
"Goiás";"Furto de veículo";"03/2015";955
"Goiás";"Furto de veículo";"04/2015";867
"Goiás";"Furto de veículo";"05/2015";1021
"Goiás";"Furto de veículo";"06/2015";1013
"Goiás";"Furto de veículo";"07/2015";957
"Goiás";"Furto de veículo";"08/2015";1042
"Goiás";"Furto de veículo";"09/2015";994
"Goiás";"Furto de veículo";"10/2015";1142
"Goiás";"Furto de veículo";"11/2015";1096
"Goiás";"Furto de veículo";"12/2015";1129
"Goiás";"Furto de veículo";"01/2016";1327
"Goiás";"Furto de veículo";"02/2016";1109
"Goiás";"Furto de veículo";"03/2016";1189
"Goiás";"Furto de veículo";"04/2016";1090
"Goiás";"Furto de veículo";"05/2016";990
"Goiás";"Furto de veículo";"06/2016";903
"Goiás";"Furto de veículo";"07/2016";1008
"Goiás";"Furto de veículo";"08/2016";969
"Goiás";"Furto de veículo";"09/2016";905
"Goiás";"Furto de veículo";"10/2016";945
"Goiás";"Furto de veículo";"11/2016";778
"Goiás";"Furto de veículo";"12/2016";952
"Goiás";"Furto de veículo";"01/2017";956
"Goiás";"Furto de veículo";"02/2017";841
"Goiás";"Furto de veículo";"03/2017";974
"Goiás";"Furto de veículo";"04/2017";914
"Goiás";"Furto de veículo";"05/2017";976
"Goiás";"Furto de veículo";"06/2017";873
"Goiás";"Furto de veículo";"07/2017";903
"Goiás";"Furto de veículo";"08/2017";915
"Goiás";"Furto de veículo";"09/2017";881
"Goiás";"Furto de veículo";"10/2017";920
"Goiás";"Furto de veículo";"11/2017";820
"Goiás";"Furto de veículo";"12/2017";851
"Goiás";"Furto de veículo";"01/2018";835
"Goiás";"Furto de veículo";"02/2018";768
"Goiás";"Furto de veículo";"03/2018";832
"Goiás";"Furto de veículo";"04/2018";845
"Goiás";"Furto de veículo";"05/2018";856
"Goiás";"Furto de veículo";"06/2018";866
"Goiás";"Furto de veículo";"07/2018";859
"Goiás";"Furto de veículo";"08/2018";844
"Goiás";"Furto de veículo";"09/2018";845
"Goiás";"Furto de veículo";"10/2018";891
"Goiás";"Furto de veículo";"11/2018";742
"Goiás";"Furto de veículo";"12/2018";740
"Goiás";"Homicídio doloso";"01/2015";208
"Goiás";"Homicídio doloso";"02/2015";203
"Goiás";"Homicídio doloso";"03/2015";223
"Goiás";"Homicídio doloso";"04/2015";259
"Goiás";"Homicídio doloso";"05/2015";222
"Goiás";"Homicídio doloso";"06/2015";209
"Goiás";"Homicídio doloso";"07/2015";235
"Goiás";"Homicídio doloso";"08/2015";212
"Goiás";"Homicídio doloso";"09/2015";227
"Goiás";"Homicídio doloso";"10/2015";253
"Goiás";"Homicídio doloso";"11/2015";246
"Goiás";"Homicídio doloso";"12/2015";232
"Goiás";"Homicídio doloso";"01/2016";260
"Goiás";"Homicídio doloso";"02/2016";247
"Goiás";"Homicídio doloso";"03/2016";232
"Goiás";"Homicídio doloso";"04/2016";221
