"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Maranhão";"Estupro";"01/2015";96
"Maranhão";"Furto de veículo";"01/2015";159
"Maranhão";"Homicídio doloso";"01/2015";176
"Maranhão";"Lesão corporal seguida de morte";"01/2015";3
"Maranhão";"Roubo a instituição financeira";"01/2015";20
"Maranhão";"Roubo de carga";"01/2015";2
"Maranhão";"Roubo de veículo";"01/2015";303
"Maranhão";"Roubo seguido de morte (latrocínio)";"01/2015";6
"Maranhão";"Tentativa de homicídio";"01/2015";125
"Maranhão";"Estupro";"02/2015";59
"Maranhão";"Furto de veículo";"02/2015";150
"Maranhão";"Homicídio doloso";"02/2015";166
"Maranhão";"Lesão corporal seguida de morte";"02/2015";2
"Maranhão";"Roubo a instituição financeira";"02/2015";9
"Maranhão";"Roubo de carga";"02/2015";5
"Maranhão";"Roubo de veículo";"02/2015";236
"Maranhão";"Roubo seguido de morte (latrocínio)";"02/2015";7
"Maranhão";"Tentativa de homicídio";"02/2015";80
"Maranhão";"Estupro";"03/2015";59
"Maranhão";"Furto de veículo";"03/2015";168
"Maranhão";"Homicídio doloso";"03/2015";140
"Maranhão";"Lesão corporal seguida de morte";"03/2015";8
"Maranhão";"Roubo a instituição financeira";"03/2015";10
"Maranhão";"Roubo de carga";"03/2015";6
"Maranhão";"Roubo de veículo";"03/2015";288
"Maranhão";"Roubo seguido de morte (latrocínio)";"03/2015";7
"Maranhão";"Tentativa de homicídio";"03/2015";91
"Maranhão";"Estupro";"04/2015";66
"Maranhão";"Furto de veículo";"04/2015";162
"Maranhão";"Homicídio doloso";"04/2015";149
"Maranhão";"Lesão corporal seguida de morte";"04/2015";5
"Maranhão";"Roubo a instituição financeira";"04/2015";16
"Maranhão";"Roubo de carga";"04/2015";5
"Maranhão";"Roubo de veículo";"04/2015";315
"Maranhão";"Roubo seguido de morte (latrocínio)";"04/2015";10
"Maranhão";"Tentativa de homicídio";"04/2015";70
"Maranhão";"Estupro";"05/2015";88
"Maranhão";"Furto de veículo";"05/2015";174
"Maranhão";"Homicídio doloso";"05/2015";177
"Maranhão";"Lesão corporal seguida de morte";"05/2015";5
"Maranhão";"Roubo a instituição financeira";"05/2015";9
"Maranhão";"Roubo de carga";"05/2015";2
"Maranhão";"Roubo de veículo";"05/2015";295
"Maranhão";"Roubo seguido de morte (latrocínio)";"05/2015";15
"Maranhão";"Tentativa de homicídio";"05/2015";85
"Maranhão";"Estupro";"06/2015";84
