"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso";"Estupro";"01/2015";96
"Mato Grosso";"Furto de veículo";"01/2015";337
"Mato Grosso";"Homicídio doloso";"01/2015";99
"Mato Grosso";"Lesão corporal seguida de morte";"01/2015";4
"Mato Grosso";"Roubo a instituição financeira";"01/2015";0
"Mato Grosso";"Roubo de carga";"01/2015";1
"Mato Grosso";"Roubo de veículo";"01/2015";300
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"01/2015";6
"Mato Grosso";"Tentativa de homicídio";"01/2015";143
"Mato Grosso";"Estupro";"02/2015";79
"Mato Grosso";"Furto de veículo";"02/2015";305
"Mato Grosso";"Homicídio doloso";"02/2015";82
"Mato Grosso";"Lesão corporal seguida de morte";"02/2015";3
"Mato Grosso";"Roubo a instituição financeira";"02/2015";2
"Mato Grosso";"Roubo de carga";"02/2015";0
"Mato Grosso";"Roubo de veículo";"02/2015";261
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"02/2015";4
"Mato Grosso";"Tentativa de homicídio";"02/2015";130
"Mato Grosso";"Estupro";"03/2015";174
"Mato Grosso";"Furto de veículo";"03/2015";334
"Mato Grosso";"Homicídio doloso";"03/2015";88
"Mato Grosso";"Lesão corporal seguida de morte";"03/2015";0
"Mato Grosso";"Roubo a instituição financeira";"03/2015";0
"Mato Grosso";"Roubo de carga";"03/2015";4
"Mato Grosso";"Roubo de veículo";"03/2015";340
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"03/2015";5
"Mato Grosso";"Tentativa de homicídio";"03/2015";113
"Mato Grosso";"Estupro";"04/2015";137
"Mato Grosso";"Furto de veículo";"04/2015";312
"Mato Grosso";"Homicídio doloso";"04/2015";106
"Mato Grosso";"Lesão corporal seguida de morte";"04/2015";2
"Mato Grosso";"Roubo a instituição financeira";"04/2015";6
"Mato Grosso";"Roubo de carga";"04/2015";2
"Mato Grosso";"Roubo de veículo";"04/2015";351
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"04/2015";3
"Mato Grosso";"Tentativa de homicídio";"04/2015";118
"Mato Grosso";"Estupro";"05/2015";113
"Mato Grosso";"Furto de veículo";"05/2015";277
"Mato Grosso";"Homicídio doloso";"05/2015";100
"Mato Grosso";"Lesão corporal seguida de morte";"05/2015";1
"Mato Grosso";"Roubo a instituição financeira";"05/2015";3
"Mato Grosso";"Roubo de carga";"05/2015";2
"Mato Grosso";"Roubo de veículo";"05/2015";406
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"05/2015";3
"Mato Grosso";"Tentativa de homicídio";"05/2015";103
"Mato Grosso";"Estupro";"06/2015";136
"Mato Grosso";"Furto de veículo";"06/2015";252
"Mato Grosso";"Homicídio doloso";"06/2015";88
"Mato Grosso";"Lesão corporal seguida de morte";"06/2015";5
"Mato Grosso";"Roubo a instituição financeira";"06/2015";3
"Mato Grosso";"Roubo de carga";"06/2015";1
"Mato Grosso";"Roubo de veículo";"06/2015";290
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"06/2015";3
"Mato Grosso";"Tentativa de homicídio";"06/2015";120
"Mato Grosso";"Estupro";"07/2015";106
"Mato Grosso";"Furto de veículo";"07/2015";296
"Mato Grosso";"Homicídio doloso";"07/2015";97
"Mato Grosso";"Lesão corporal seguida de morte";"07/2015";2
"Mato Grosso";"Roubo a instituição financeira";"07/2015";8
"Mato Grosso";"Roubo de carga";"07/2015";1
"Mato Grosso";"Roubo de veículo";"07/2015";349
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"07/2015";0
"Mato Grosso";"Tentativa de homicídio";"07/2015";118
"Mato Grosso";"Estupro";"08/2015";138
"Mato Grosso";"Furto de veículo";"08/2015";324
"Mato Grosso";"Homicídio doloso";"08/2015";93
"Mato Grosso";"Lesão corporal seguida de morte";"08/2015";3
"Mato Grosso";"Roubo a instituição financeira";"08/2015";2
"Mato Grosso";"Roubo de carga";"08/2015";1
"Mato Grosso";"Roubo de veículo";"08/2015";265
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"08/2015";10
"Mato Grosso";"Tentativa de homicídio";"08/2015";136
"Mato Grosso";"Estupro";"09/2015";155
"Mato Grosso";"Furto de veículo";"09/2015";316
"Mato Grosso";"Homicídio doloso";"09/2015";100
"Mato Grosso";"Lesão corporal seguida de morte";"09/2015";2
"Mato Grosso";"Roubo a instituição financeira";"09/2015";3
"Mato Grosso";"Roubo de carga";"09/2015";0
"Mato Grosso";"Roubo de veículo";"09/2015";262
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"09/2015";4
"Mato Grosso";"Tentativa de homicídio";"09/2015";127
"Mato Grosso";"Estupro";"10/2015";135
"Mato Grosso";"Furto de veículo";"10/2015";292
"Mato Grosso";"Homicídio doloso";"10/2015";101
"Mato Grosso";"Lesão corporal seguida de morte";"10/2015";3
"Mato Grosso";"Roubo a instituição financeira";"10/2015";3
"Mato Grosso";"Roubo de carga";"10/2015";0
"Mato Grosso";"Roubo de veículo";"10/2015";259
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"10/2015";4
"Mato Grosso";"Tentativa de homicídio";"10/2015";139
"Mato Grosso";"Estupro";"11/2015";120
"Mato Grosso";"Furto de veículo";"11/2015";262
"Mato Grosso";"Homicídio doloso";"11/2015";102
"Mato Grosso";"Lesão corporal seguida de morte";"11/2015";1
"Mato Grosso";"Roubo a instituição financeira";"11/2015";3
"Mato Grosso";"Roubo de carga";"11/2015";2
"Mato Grosso";"Roubo de veículo";"11/2015";241
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"11/2015";3
"Mato Grosso";"Tentativa de homicídio";"11/2015";141
"Mato Grosso";"Estupro";"12/2015";95
"Mato Grosso";"Furto de veículo";"12/2015";307
"Mato Grosso";"Homicídio doloso";"12/2015";65
"Mato Grosso";"Lesão corporal seguida de morte";"12/2015";1
"Mato Grosso";"Roubo a instituição financeira";"12/2015";0
"Mato Grosso";"Roubo de carga";"12/2015";3
"Mato Grosso";"Roubo de veículo";"12/2015";217
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"12/2015";7
"Mato Grosso";"Tentativa de homicídio";"12/2015";128
"Mato Grosso";"Estupro";"01/2016";98
"Mato Grosso";"Furto de veículo";"01/2016";349
"Mato Grosso";"Homicídio doloso";"01/2016";113
"Mato Grosso";"Lesão corporal seguida de morte";"01/2016";3
"Mato Grosso";"Roubo a instituição financeira";"01/2016";2
"Mato Grosso";"Roubo de carga";"01/2016";3
"Mato Grosso";"Roubo de veículo";"01/2016";298
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"01/2016";7
"Mato Grosso";"Tentativa de homicídio";"01/2016";150
"Mato Grosso";"Estupro";"02/2016";116
"Mato Grosso";"Furto de veículo";"02/2016";363
"Mato Grosso";"Homicídio doloso";"02/2016";98
"Mato Grosso";"Lesão corporal seguida de morte";"02/2016";3
"Mato Grosso";"Roubo a instituição financeira";"02/2016";1
"Mato Grosso";"Roubo de carga";"02/2016";0
"Mato Grosso";"Roubo de veículo";"02/2016";299
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"02/2016";5
"Mato Grosso";"Tentativa de homicídio";"02/2016";127
"Mato Grosso";"Estupro";"03/2016";154
"Mato Grosso";"Furto de veículo";"03/2016";336
"Mato Grosso";"Homicídio doloso";"03/2016";92
"Mato Grosso";"Lesão corporal seguida de morte";"03/2016";2
"Mato Grosso";"Roubo a instituição financeira";"03/2016";2
"Mato Grosso";"Roubo de carga";"03/2016";2
"Mato Grosso";"Roubo de veículo";"03/2016";373
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"03/2016";6
"Mato Grosso";"Tentativa de homicídio";"03/2016";132
"Mato Grosso";"Estupro";"04/2016";134
"Mato Grosso";"Furto de veículo";"04/2016";359
"Mato Grosso";"Homicídio doloso";"04/2016";112
"Mato Grosso";"Lesão corporal seguida de morte";"04/2016";3
"Mato Grosso";"Roubo a instituição financeira";"04/2016";3
"Mato Grosso";"Roubo de carga";"04/2016";0
"Mato Grosso";"Roubo de veículo";"04/2016";232
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"04/2016";3
"Mato Grosso";"Tentativa de homicídio";"04/2016";135
"Mato Grosso";"Estupro";"05/2016";145
"Mato Grosso";"Furto de veículo";"05/2016";282
"Mato Grosso";"Homicídio doloso";"05/2016";80
"Mato Grosso";"Lesão corporal seguida de morte";"05/2016";1
"Mato Grosso";"Roubo a instituição financeira";"05/2016";1
"Mato Grosso";"Roubo de carga";"05/2016";3
"Mato Grosso";"Roubo de veículo";"05/2016";247
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"05/2016";5
"Mato Grosso";"Tentativa de homicídio";"05/2016";97
"Mato Grosso";"Estupro";"06/2016";129
"Mato Grosso";"Furto de veículo";"06/2016";236
"Mato Grosso";"Homicídio doloso";"06/2016";80
"Mato Grosso";"Lesão corporal seguida de morte";"06/2016";0
"Mato Grosso";"Roubo a instituição financeira";"06/2016";1
"Mato Grosso";"Roubo de carga";"06/2016";2
"Mato Grosso";"Roubo de veículo";"06/2016";273
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"06/2016";6
"Mato Grosso";"Tentativa de homicídio";"06/2016";111
"Mato Grosso";"Estupro";"07/2016";133
"Mato Grosso";"Furto de veículo";"07/2016";228
"Mato Grosso";"Homicídio doloso";"07/2016";78
"Mato Grosso";"Lesão corporal seguida de morte";"07/2016";2
"Mato Grosso";"Roubo a instituição financeira";"07/2016";0
"Mato Grosso";"Roubo de carga";"07/2016";1
"Mato Grosso";"Roubo de veículo";"07/2016";245
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"07/2016";4
"Mato Grosso";"Tentativa de homicídio";"07/2016";110
"Mato Grosso";"Estupro";"08/2016";174
"Mato Grosso";"Furto de veículo";"08/2016";259
"Mato Grosso";"Homicídio doloso";"08/2016";87
"Mato Grosso";"Lesão corporal seguida de morte";"08/2016";5
"Mato Grosso";"Roubo a instituição financeira";"08/2016";4
"Mato Grosso";"Roubo de carga";"08/2016";1
"Mato Grosso";"Roubo de veículo";"08/2016";273
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"08/2016";3
"Mato Grosso";"Tentativa de homicídio";"08/2016";131
"Mato Grosso";"Estupro";"09/2016";139
"Mato Grosso";"Furto de veículo";"09/2016";229
"Mato Grosso";"Homicídio doloso";"09/2016";91
"Mato Grosso";"Lesão corporal seguida de morte";"09/2016";0
"Mato Grosso";"Roubo a instituição financeira";"09/2016";2
"Mato Grosso";"Roubo de carga";"09/2016";0
"Mato Grosso";"Roubo de veículo";"09/2016";239
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"09/2016";8
"Mato Grosso";"Tentativa de homicídio";"09/2016";122
"Mato Grosso";"Estupro";"10/2016";139
"Mato Grosso";"Furto de veículo";"10/2016";266
"Mato Grosso";"Homicídio doloso";"10/2016";90
"Mato Grosso";"Lesão corporal seguida de morte";"10/2016";1
"Mato Grosso";"Roubo a instituição financeira";"10/2016";3
"Mato Grosso";"Roubo de carga";"10/2016";1
"Mato Grosso";"Roubo de veículo";"10/2016";263
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"10/2016";6
"Mato Grosso";"Tentativa de homicídio";"10/2016";121
"Mato Grosso";"Estupro";"11/2016";138
"Mato Grosso";"Furto de veículo";"11/2016";229
"Mato Grosso";"Homicídio doloso";"11/2016";71
"Mato Grosso";"Lesão corporal seguida de morte";"11/2016";2
"Mato Grosso";"Roubo a instituição financeira";"11/2016";2
"Mato Grosso";"Roubo de carga";"11/2016";0
"Mato Grosso";"Roubo de veículo";"11/2016";229
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"11/2016";7
"Mato Grosso";"Tentativa de homicídio";"11/2016";89
"Mato Grosso";"Estupro";"12/2016";116
"Mato Grosso";"Furto de veículo";"12/2016";267
"Mato Grosso";"Homicídio doloso";"12/2016";94
"Mato Grosso";"Lesão corporal seguida de morte";"12/2016";0
"Mato Grosso";"Roubo a instituição financeira";"12/2016";4
"Mato Grosso";"Roubo de carga";"12/2016";0
"Mato Grosso";"Roubo de veículo";"12/2016";198
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"12/2016";4
"Mato Grosso";"Tentativa de homicídio";"12/2016";108
"Mato Grosso";"Estupro";"01/2017";110
"Mato Grosso";"Furto de veículo";"01/2017";225
"Mato Grosso";"Homicídio doloso";"01/2017";86
"Mato Grosso";"Lesão corporal seguida de morte";"01/2017";1
"Mato Grosso";"Roubo a instituição financeira";"01/2017";2
"Mato Grosso";"Roubo de carga";"01/2017";2
"Mato Grosso";"Roubo de veículo";"01/2017";230
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"01/2017";5
"Mato Grosso";"Tentativa de homicídio";"01/2017";108
