"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Tocantins";"Estupro";"01/2015";22
"Tocantins";"Estupro";"02/2015";19
"Tocantins";"Estupro";"03/2015";15
"Tocantins";"Estupro";"04/2015";31
"Tocantins";"Estupro";"05/2015";38
"Tocantins";"Estupro";"06/2015";41
"Tocantins";"Estupro";"07/2015";39
"Tocantins";"Estupro";"08/2015";28
"Tocantins";"Estupro";"09/2015";32
"Tocantins";"Estupro";"10/2015";33
"Tocantins";"Estupro";"11/2015";50
"Tocantins";"Estupro";"12/2015";32
"Tocantins";"Estupro";"01/2016";32
"Tocantins";"Estupro";"02/2016";36
"Tocantins";"Estupro";"03/2016";41
"Tocantins";"Estupro";"04/2016";36
"Tocantins";"Estupro";"05/2016";50
"Tocantins";"Estupro";"06/2016";39
"Tocantins";"Estupro";"07/2016";25
"Tocantins";"Estupro";"08/2016";41
"Tocantins";"Estupro";"09/2016";39
"Tocantins";"Estupro";"10/2016";33
"Tocantins";"Estupro";"11/2016";42
"Tocantins";"Estupro";"12/2016";36
"Tocantins";"Estupro";"01/2017";41
"Tocantins";"Estupro";"02/2017";20
"Tocantins";"Estupro";"03/2017";49
"Tocantins";"Estupro";"04/2017";49
"Tocantins";"Estupro";"05/2017";38
"Tocantins";"Estupro";"06/2017";51
"Tocantins";"Estupro";"07/2017";28
"Tocantins";"Estupro";"08/2017";73
"Tocantins";"Estupro";"09/2017";55
"Tocantins";"Estupro";"10/2017";57
"Tocantins";"Estupro";"11/2017";53
"Tocantins";"Estupro";"12/2017";50
"Tocantins";"Estupro";"01/2018";32
"Tocantins";"Estupro";"02/2018";50
"Tocantins";"Estupro";"03/2018";63
"Tocantins";"Estupro";"04/2018";68
"Tocantins";"Estupro";"05/2018";81
"Tocantins";"Estupro";"06/2018";55
"Tocantins";"Estupro";"07/2018";52
"Tocantins";"Estupro";"08/2018";71
"Tocantins";"Estupro";"09/2018";70
"Tocantins";"Estupro";"10/2018";82
"Tocantins";"Estupro";"11/2018";43
"Tocantins";"Estupro";"12/2018";60
"Tocantins";"Furto de veículo";"01/2015";137
